station,station_type,model,condition,horizon,n_eval,skill_h,phi_h,r_h,beta_h,kge_h,rmse,rmse_persistence
Pearse street dublin,unknown,xgboost_direct,lag_only,23,212,0.2156029782201776,0.3973217347217305,0.19445692651286148,0.9759380772676739,-0.006329822079971015,10.763357236034219,13.721823180322396
Pearse street dublin,unknown,xgboost_direct,lag_only,24,212,0.1259058169057975,0.5490106762490642,0.11209919192272938,0.9411413362886918,0.00239107992386256,12.437057439842174,14.228509559251709
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,1,212,0.2704729399319393,0.8030121418562085,0.8243332676939347,0.9907278657556239,0.7358996600369188,5.322234392212903,7.295458501177968
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,2,212,0.37310391974504264,0.7858565680411136,0.7820032398471982,1.0651799560998294,0.6875445254673491,5.194055567041884,8.285353395301934
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,3,212,0.36610062454635883,0.7166996443663809,0.7229182925952727,1.0726161430584344,0.5971272306135137,5.795591039033246,9.142761869556525
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,4,212,0.4143853076341918,0.696843630844943,0.646685541086583,1.078640010883404,0.5278568624365068,5.79487852211078,9.895377622272786
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,5,212,0.45757469047146404,0.7241570404756674,0.5757773143718442,1.111487123658594,0.48184596492705545,5.859735654058255,10.802843361330996
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,6,212,0.43963701453670145,0.7022584431764528,0.50144939893429,1.1351035222334154,0.4037989448159578,6.452326829576675,11.514548599675978
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,7,212,0.4190272639341269,0.6489475846538116,0.5342456593349261,1.041068797160462,0.4153192749295068,6.561563078102631,11.294098106109155
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,8,212,0.4082211761572887,0.613525639667489,0.5403106836071173,1.0376655658674354,0.3982563721548076,7.002108242493066,11.832306193427012
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,9,212,0.39333226285135703,0.6047807284482251,0.498683371052243,1.0253247538162698,0.3611275728118223,7.559052920897936,12.459955356165333
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,10,212,0.18651678308688713,0.36129047218887567,0.2544869977870986,0.9143495864809107,0.01456837339103334,14.767488741285467,18.153403087187186
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,11,212,0.3185548301896073,0.49064489301064085,0.4477190229967278,0.9814402267329504,0.24846732089711843,9.855676255777743,14.462904269348646
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,12,212,0.3045568325005821,0.49287049500735713,0.4102254067867484,0.9287008924863692,0.2189123171076247,10.116458218988424,14.54677922189363
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,13,212,0.3168323116056635,0.5237030469231206,0.4204705160115119,0.9557581892244678,0.24855436115246488,9.410465525115386,13.77475206304473
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,14,212,0.29529673903409714,0.4932263293885885,0.42843853923320185,0.9202322910950085,0.2319733441847277,9.58374362536286,13.599686784799156
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,15,212,0.311868601452884,0.5011108738430202,0.45366889952002665,0.9267516336897902,0.2565396078361347,8.963536928397703,13.02590892861863
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,16,212,0.30106235422598193,0.4544578531890337,0.45443676783231746,0.9120396458733244,0.22347408405227276,9.129950256675718,13.06261053740355
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,17,212,0.3135713961953902,0.5052582203286432,0.4236239164819609,0.9308292001532336,0.2372658275942946,8.660411600799298,12.616624005465342
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,18,212,0.27027180839965315,0.47465706224467535,0.35383587964382757,0.9180603753113207,0.16320410207794245,9.28240677575478,12.720362023286764
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,19,212,0.2580380502950619,0.45659616704281863,0.34008835980519503,0.9125426755124496,0.14068638894541263,9.623507778150953,12.970352161560319
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,20,212,0.2642884620286807,0.4915709643446483,0.3294788490334282,0.9304449425358198,0.15564426678691134,9.121231748192137,12.397837029093482
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,21,212,0.2463252992710434,0.5125108061613021,0.2639425466347374,0.948985975593995,0.11567612298991048,9.486454867555898,12.586935528525196
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,22,212,0.24594652853835275,0.4452435807628021,0.25355158447343024,0.9441206007818872,0.06830132071362172,9.937549087901113,13.17883872166028
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,23,212,0.2232930837999204,0.4474443296840055,0.24335216280371275,0.9656955142115661,0.0624443930745302,10.657834967030977,13.721823180322396
Pearse street dublin,unknown,xgboost_direct,lag_plus_met,24,212,0.1865808589826311,0.44417989270469455,0.2090408972086555,0.9152700695322631,0.029571509548837915,11.573742023643947,14.228509559251709
