dataset,station,model,horizon,n_pairs,dm_stat,dm_pval_raw,dm_pval_bh,dm_significant
e1_rr_08019045_10_M,08019045_10_M,hgb_direct,2,1476,2.927079940535131,0.0034740366457977,0.0056246307598629,True
e1_rr_08019045_10_M,08019045_10_M,hgb_direct,3,1467,3.7428415993936297,0.0001889798482241,0.0003569619355345,True
e1_rr_08019045_10_M,08019045_10_M,hgb_direct,4,1459,4.45207005489997,9.1522724721127e-06,2.0745150936788782e-05,True
e1_rr_08019045_10_M,08019045_10_M,hgb_direct,5,1454,4.585486138335441,4.91835737537194e-06,1.1944582197331854e-05,True
e1_rr_08019045_10_M,08019045_10_M,hgb_direct,6,1451,4.99616964206287,6.558220151386962e-07,2.0270862286105156e-06,True
e1_rr_08019045_10_M,08019045_10_M,hgb_direct,7,1447,4.414066655523502,1.0897888411021128e-05,2.3158012873419898e-05,True
e1_rr_08019045_10_M,08019045_10_M,ridge_direct,1,1486,3.005864540775367,0.0026926922859713,0.0045775768861513,True
e1_rr_08019045_10_M,08019045_10_M,ridge_direct,2,1476,3.6029360900422143,0.000325092966362,0.0005817453082268,True
e1_rr_08019045_10_M,08019045_10_M,ridge_direct,3,1467,4.296711168552614,1.8476720812676817e-05,3.6953441625353634e-05,True
e1_rr_08019045_10_M,08019045_10_M,ridge_direct,4,1459,4.759334834534441,2.1351590766549577e-06,5.584262200482197e-06,True
e1_rr_08019045_10_M,08019045_10_M,ridge_direct,5,1454,5.01458374809472,5.968580116810784e-07,2.0270862286105156e-06,True
e1_rr_08019045_10_M,08019045_10_M,ridge_direct,6,1451,5.4071308157870375,7.480015606908809e-08,2.825783673721105e-07,True
e1_rr_08019045_10_M,08019045_10_M,ridge_direct,7,1447,4.84752470770636,1.3848776083680292e-06,3.923819890376083e-06,True
e1_rr_08019045_10_M,08019045_10_M,sarima,1,109,1.0334030891644594,0.3037238277714322,0.3331164562654418,False
e1_rr_08019045_10_M,08019045_10_M,sarima,2,107,1.2253290849583487,0.2231669449548619,0.2616440044298381,False
e1_rr_08019045_10_M,08019045_10_M,sarima,3,106,1.3368962567933529,0.1841458540404303,0.2236056799062369,False
e1_rr_08019045_10_M,08019045_10_M,sarima,4,104,1.3778794858928316,0.1712267298985967,0.2156188450574922,False
e1_rr_08019045_10_M,08019045_10_M,sarima,5,107,1.6518605106574902,0.101522412215022,0.1380704806124299,False
e1_rr_08019045_10_M,08019045_10_M,sarima,6,107,1.7185035929925905,0.0886242375370252,0.12874806905673,False
e1_rr_08019045_10_M,08019045_10_M,sarima,7,107,1.3903468292951815,0.1673360217038522,0.2156188450574922,False
e1_rr_08019045_10_M,08019045_10_M,seasonal_naive,1,1486,-5.762237503858347,1.0075722922664454e-08,4.2821822421323936e-08,True
e1_rr_08019045_10_M,08019045_10_M,seasonal_naive,2,1476,-2.5668012458818605,0.0103620470559526,0.0160140727228359,True
e1_rr_08019045_10_M,08019045_10_M,seasonal_naive,3,1467,-1.0547787209267052,0.2917003391500279,0.3305937177033649,False
e1_rr_08019045_10_M,08019045_10_M,seasonal_naive,4,1459,0.0182123176236605,0.9854719680774512,0.9854719680774512,False
e1_rr_08019045_10_M,08019045_10_M,seasonal_naive,5,1454,0.4887378100836955,0.6251010880548171,0.6641699060582432,False
e1_rr_08019045_10_M,08019045_10_M,seasonal_naive,6,1451,0.4172072839425024,0.67658855890392,0.697091242507069,False
e1_rr_08019045_10_M,08019045_10_M,seasonal_naive,7,1447,,,,False
e1_rr_08019045_10_M,08019045_10_M,stl_ridge_direct,1,1486,-28.781299063187163,0.0,0.0,True
e1_rr_08019045_10_M,08019045_10_M,stl_ridge_direct,2,1476,-19.765725981581607,0.0,0.0,True
e1_rr_08019045_10_M,08019045_10_M,stl_ridge_direct,3,1467,-16.444632261713046,0.0,0.0,True
e1_rr_08019045_10_M,08019045_10_M,stl_ridge_direct,4,1459,-16.182562978702464,0.0,0.0,True
e1_rr_08019045_10_M,08019045_10_M,stl_ridge_direct,5,1454,-16.273008532594776,0.0,0.0,True
e1_rr_08019045_10_M,08019045_10_M,stl_ridge_direct,6,1451,-16.596544698662,0.0,0.0,True
e1_rr_08019045_10_M,08019045_10_M,stl_ridge_direct,7,1447,-18.84711340202378,0.0,0.0,True
e1_rr_08019052_10_M,08019052_10_M,hgb_direct,1,1731,3.3089323622971527,0.0009557536596409,0.0014128532359909,True
e1_rr_08019052_10_M,08019052_10_M,hgb_direct,2,1725,3.8507174098931185,0.0001220761017597,0.0001886630663559,True
e1_rr_08019052_10_M,08019052_10_M,hgb_direct,3,1720,4.3491844524065435,1.4466362905585228e-05,2.342173041856656e-05,True
e1_rr_08019052_10_M,08019052_10_M,hgb_direct,4,1716,5.096767135108409,3.836738153850661e-07,1.003454594084019e-06,True
e1_rr_08019052_10_M,08019052_10_M,hgb_direct,5,1713,4.736597744307223,2.352652530346333e-06,4.705305060692666e-06,True
e1_rr_08019052_10_M,08019052_10_M,hgb_direct,6,1711,4.701167627983172,2.7941557825261754e-06,5.277849811438331e-06,True
e1_rr_08019052_10_M,08019052_10_M,hgb_direct,7,1709,4.857467877429676,1.2976805594533405e-06,2.941409268094238e-06,True
e1_rr_08019052_10_M,08019052_10_M,ridge_direct,1,1731,4.668571779549014,3.266721463779376e-06,5.845712093078884e-06,True
e1_rr_08019052_10_M,08019052_10_M,ridge_direct,2,1725,4.48589319267947,7.740554537782884e-06,1.3158942714230904e-05,True
e1_rr_08019052_10_M,08019052_10_M,ridge_direct,3,1720,4.747939073692183,2.225429645008603e-06,4.705305060692666e-06,True
e1_rr_08019052_10_M,08019052_10_M,ridge_direct,4,1716,5.497680197973136,4.427554967101344e-08,1.505368688814457e-07,True
e1_rr_08019052_10_M,08019052_10_M,ridge_direct,5,1713,5.099884438942945,3.775703176778223e-07,1.003454594084019e-06,True
e1_rr_08019052_10_M,08019052_10_M,ridge_direct,6,1711,5.028204333977951,5.470380006755704e-07,1.328520858783528e-06,True
e1_rr_08019052_10_M,08019052_10_M,ridge_direct,7,1709,5.270806567477303,1.5309894529913493e-07,4.732149218336898e-07,True
e1_rr_08019052_10_M,08019052_10_M,sarima,1,125,1.943826448540026,0.0541815579352962,0.0614057656600023,False
e1_rr_08019052_10_M,08019052_10_M,sarima,2,125,1.809583089739626,0.0727826701343206,0.0773315870177156,False
e1_rr_08019052_10_M,08019052_10_M,sarima,3,121,2.4250519081596287,0.0167962606800653,0.0211508467823045,True
e1_rr_08019052_10_M,08019052_10_M,sarima,4,124,2.5164314057198496,0.0131422281154438,0.0171859906125035,True
e1_rr_08019052_10_M,08019052_10_M,sarima,5,125,1.8230581812770064,0.0707034881206651,0.0773315870177156,False
e1_rr_08019052_10_M,08019052_10_M,sarima,6,125,2.35733911035911,0.0199720883022045,0.0242518215098197,True
e1_rr_08019052_10_M,08019052_10_M,sarima,7,124,2.280883793060893,0.0242758314859774,0.0284613196732149,True
e1_rr_08019052_10_M,08019052_10_M,seasonal_naive,1,1731,-7.686265411351253,2.5313084961453572e-14,9.562720985438017e-14,True
e1_rr_08019052_10_M,08019052_10_M,seasonal_naive,2,1725,-2.7744147574534903,0.0055897523083281,0.0076020631393262,True
e1_rr_08019052_10_M,08019052_10_M,seasonal_naive,3,1720,-1.3518311314968097,0.1766071836914873,0.1819589165306233,False
e1_rr_08019052_10_M,08019052_10_M,seasonal_naive,4,1716,-1.1200119660189778,0.2628654868172211,0.2628654868172211,False
e1_rr_08019052_10_M,08019052_10_M,seasonal_naive,5,1713,-2.9643723056418443,0.0030749249598289,0.004356143693091,True
e1_rr_08019052_10_M,08019052_10_M,seasonal_naive,6,1711,-25.051147944562263,0.0,0.0,True
e1_rr_08019052_10_M,08019052_10_M,seasonal_naive,7,1709,,,,False
e1_rr_08019052_10_M,08019052_10_M,stl_ridge_direct,1,1731,-31.36383381332216,0.0,0.0,True
e1_rr_08019052_10_M,08019052_10_M,stl_ridge_direct,2,1725,-21.52410927749744,0.0,0.0,True
e1_rr_08019052_10_M,08019052_10_M,stl_ridge_direct,3,1720,-18.853428588098264,0.0,0.0,True
e1_rr_08019052_10_M,08019052_10_M,stl_ridge_direct,4,1716,-18.78761538616732,0.0,0.0,True
e1_rr_08019052_10_M,08019052_10_M,stl_ridge_direct,5,1713,-18.815690572050517,0.0,0.0,True
e1_rr_08019052_10_M,08019052_10_M,stl_ridge_direct,6,1711,-18.588205282580603,0.0,0.0,True
e1_rr_08019052_10_M,08019052_10_M,stl_ridge_direct,7,1709,-19.37044683897942,0.0,0.0,True
e1_rr_08019054_10_M,08019054_10_M,hgb_direct,1,1427,1.577557311818622,0.1148891401666658,0.1627596152361099,False
e1_rr_08019054_10_M,08019054_10_M,hgb_direct,2,1416,2.8021661222708794,0.0051452568865406,0.008330415911542,True
e1_rr_08019054_10_M,08019054_10_M,hgb_direct,3,1406,3.629869107454779,0.000293741046957,0.000525641873502,True
e1_rr_08019054_10_M,08019054_10_M,hgb_direct,4,1398,4.13258763380247,3.800186612012979e-05,8.07539655052758e-05,True
e1_rr_08019054_10_M,08019054_10_M,hgb_direct,5,1387,4.17842214859228,3.118961895687278e-05,7.06964696355783e-05,True
e1_rr_08019054_10_M,08019054_10_M,hgb_direct,6,1379,4.483138543547321,7.96546212322724e-06,1.9344693727837585e-05,True
e1_rr_08019054_10_M,08019054_10_M,hgb_direct,7,1372,4.617781367523973,4.2424326562873205e-06,1.202022585948074e-05,True
