dataset,model,horizon,n,skill,mae_skill,alpha,alpha_ci_low,alpha_ci_high,skill_vp,collapse_flag,inflation_flag,near_ideal_flag,low_sample_flag,station_id,station_name,province,station_type,station_class,lat,lon,altitude_m,dem_code
e1_rr_08019043_10_M,ridge_direct,6,1123,0.2355384411314679,0.1919321005423291,0.0516576460973275,0.0417012970409821,0.0649858325453345,0.0121673614342855,True,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,ridge_direct,7,1118,0.2144950641625439,0.1717894427511335,0.0521697521493046,0.0429283372531313,0.0659057812985951,0.0111901543346091,True,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,sarima,1,143,0.0884018398166911,0.0822390113266854,0.5003396450888176,0.3280820694166249,0.7680347247265976,0.0442309451590817,False,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,sarima,2,144,0.277205994207367,0.1988933887338261,0.3009172521351125,0.1885671778884403,0.4861515845134646,0.0834160660522628,True,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,sarima,3,141,0.3511822451715841,0.2916277436755047,0.1469481211691042,0.0932773566789325,0.2329800484192394,0.0516055711159119,True,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,sarima,4,141,0.3475563250897877,0.2948068117829754,0.0730700051912946,0.0503712065808239,0.1067018489756957,0.025395942478578,True,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,sarima,5,143,0.3500120881633911,0.3203343239920243,0.076352772161282,0.0494396435130312,0.1224022550747445,0.0267243932212339,True,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,sarima,6,143,0.2736650568810841,0.264971657977505,0.0733142187388907,0.0441972547639669,0.1347744871767662,0.0200635398413707,True,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,sarima,7,142,0.301993472892385,0.2769154908732871,0.1657410463117063,0.1152422490709029,0.2384038330486861,0.0500527141764898,True,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,seasonal_naive,1,1155,-0.3666812426404486,-0.4927415478288739,0.8389731502564657,0.6378496691953693,1.082387018029611,-0.3076357172780126,False,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,seasonal_naive,2,1148,-0.1169428731225386,-0.1627371256655887,0.8444726540735621,0.6571208750774215,1.1086754876188871,-0.0987550584407779,False,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,seasonal_naive,3,1139,-0.0578820795071113,-0.065900249666144,0.8484427934472593,0.6493655778704148,1.1044926419813197,-0.0491096332275498,False,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,seasonal_naive,4,1134,0.0242710819101389,0.0086466615185492,0.8223697389430261,0.6348467064880335,1.0402987190152473,0.0199598032943057,False,False,True,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,seasonal_naive,5,1127,0.0488689806912669,0.0447673256388941,0.8320481286869505,0.6363939507886521,1.1013134714079156,0.0406613439350073,False,False,True,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,seasonal_naive,6,1123,0.031190865681792,0.0271707092251792,0.8632973445864804,0.6775589688461007,1.1285592739981756,0.0269269915184446,False,False,True,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,seasonal_naive,7,1118,0.0,0.0,0.8888571097663708,0.6991455322774364,1.1818069202588604,0.0,False,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,stl_ridge_direct,1,1155,-2.171519499093407,-3.4854669540342584,1.4619840340426025,1.1529313869635407,1.8429085638386415,-3.1747268372867508,False,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,stl_ridge_direct,2,1148,-1.6578988183861658,-2.5942875892667976,1.268620879947843,1.023020634515012,1.5972817750665709,-2.103245057845547,False,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,stl_ridge_direct,3,1139,-1.5356848875275615,-2.3168049220934464,1.2381031197853476,0.9849583166030916,1.5481315452177733,-1.9013362502550848,False,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,stl_ridge_direct,4,1134,-1.3629155131951038,-2.1152044788254134,1.1598241645699974,0.929728477254029,1.4390175942348469,-1.5807423464710006,False,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,stl_ridge_direct,5,1127,-1.3077555514784214,-2.0113376611460136,1.123708096534114,0.8799550242584273,1.4407275577821974,-1.4695355014837377,False,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,stl_ridge_direct,6,1123,-1.3601694716656518,-2.0743813548716177,1.0933431447620363,0.8691329045228487,1.403902067916546,-1.4871319675602417,False,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_08019043_10_M,stl_ridge_direct,7,1118,-1.4519747750391638,-2.167742446054025,1.104502413785505,0.877438016410315,1.4565587049761628,-1.6037096437864222,False,False,False,False,08019043_10_M,Barcelona L'Eixample,Barcelona,Urban/Traffic,urban,41.3853,2.1538,26,ES1438A
e1_rr_45153999_10_M,hgb_direct,1,1551,0.1150643208678378,0.0489059290447814,0.370345752367743,0.2564083580551974,0.5467941417133827,0.0426135824824827,True,False,False,False,45153999_10_M,San Pablo de los Montes,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R
