station,condition,model,horizon,n_eval,mae,rmse,mae_persistence,rmse_persistence,skill_mae_vs_persistence,skill_rmse_vs_persistence
Dundalk Co Louth,lags_meteo,xgboost_direct,8,152,5.946211131142229,7.832599684404817,9.326347622302631,14.633800597597872,0.36242874789239965,0.4647597094024547
Dundalk Co Louth,lags_meteo,xgboost_direct,9,152,5.947057105113813,7.689453988707294,9.027395780131577,14.113848605133349,0.3412211838321403,0.45518375576803605
Dundalk Co Louth,lags_meteo,xgboost_direct,10,153,6.209802041845389,7.98626451034631,9.303012733202614,14.373279686670056,0.3324955882643804,0.444367278419214
Dundalk Co Louth,lags_meteo,xgboost_direct,11,153,6.931686526815315,10.486300370557633,10.030775476797384,15.875229661424996,0.3089580618318797,0.33945520195917855
Dundalk Co Louth,lags_meteo,xgboost_direct,12,153,6.888237587439098,10.483507870698391,10.061342567843136,15.90734720605791,0.3153759012783779,0.34096441506563624
Dundalk Co Louth,lags_meteo,xgboost_direct,13,153,6.554469676434107,8.912457172925667,9.658513034901961,14.88785947304236,0.3213790101282772,0.4013607403358711
Dundalk Co Louth,lags_meteo,xgboost_direct,14,152,6.218215596521964,8.04966763806213,9.369361487236842,14.616610288551254,0.3363245078127727,0.4492794513125119
Dundalk Co Louth,lags_meteo,xgboost_direct,15,152,7.001913145964109,9.988009259670505,9.805145889407894,15.509464860511445,0.2858940371781724,0.35600555212572704
Dundalk Co Louth,lags_meteo,xgboost_direct,16,151,7.250538933636829,9.813298112287375,9.744590186622515,14.920403945680778,0.2559421386862988,0.3422900513944751
Dundalk Co Louth,lags_meteo,xgboost_direct,17,151,7.543564002604636,9.978845466026323,9.535548446291392,14.344932665120968,0.20890087810958446,0.3043644261719388
Dundalk Co Louth,lags_meteo,xgboost_direct,18,151,7.468333463322729,10.556229905567898,10.027346343377484,14.688321189521204,0.2552034000246579,0.28131814593632265
Dundalk Co Louth,lags_meteo,xgboost_direct,19,150,10.303150190795309,17.47857267061072,12.6091435904,20.281120078765717,0.1828826345795891,0.13818504092825012
