station,horizon,rmse_lags_only,mae_lags_only,skill_rmse_vs_persistence_lags_only,skill_mae_vs_persistence_lags_only,rmse_lags_meteo,mae_lags_meteo,skill_rmse_vs_persistence_lags_meteo,skill_mae_vs_persistence_lags_meteo,delta_rmse_meteo_minus_lags,delta_mae_meteo_minus_lags,delta_skill_rmse_meteo_minus_lags,delta_skill_mae_meteo_minus_lags
Dublin Airport,8,9.817661906155593,7.64314793414417,0.2800933205698968,0.1079248660229955,9.808134988771029,7.542484872607578,0.2807919076189402,0.1196738227199649,-0.009526917384564015,-0.10066306153659177,0.0006985870490434087,0.011748956696969404
Dublin Airport,9,11.72042750006002,9.50339031228158,0.260302460880942,0.0024442647869966,11.16153941812732,8.640692934846486,0.2955749062628592,0.0930002335870389,-0.5588880819327002,-0.8626973774350937,0.035272445381917206,0.09055596880004231
Dublin Airport,10,11.257367422726167,9.197607584546589,0.2876722184411894,0.0655347637094384,11.64886700883105,9.033624133426596,0.2628994610833461,0.082195273846449,0.39149958610488333,-0.1639834511199929,-0.02477275735784329,0.016660510137010587
Dublin Airport,11,12.248600877908078,9.979660746773003,0.2609601331462714,0.0453367156474865,12.238016387872127,9.693969510116483,0.2615987660958511,0.0726661951977244,-0.010584490035951077,-0.2856912366565201,0.000638632949579665,0.027329479550237894
Dublin Airport,12,11.969313246351096,9.895084006612326,0.2748206176263866,0.0640140229251897,12.462767522567946,9.82717724649901,0.2449239259874036,0.0704373918599227,0.4934542762168501,-0.0679067601133152,-0.02989669163898301,0.006423368934732998
Dublin Airport,13,12.06646761580799,9.783877922591357,0.2651700473801796,0.0881370194720614,12.95214564452991,9.737736182630604,0.2112335711384071,0.0924374558491551,0.8856780287219195,-0.04614173996075266,-0.053936476241772474,0.004300436377093694
Dublin Airport,14,11.524619526691923,9.446542915272264,0.3233862693831081,0.1476222844853646,12.727260020056251,9.550818913909708,0.2527788997496438,0.1382132828750617,1.2026404933643278,0.10427599863744419,-0.07060736963346431,-0.009409001610302892
Dublin Airport,15,12.336264005940931,9.485263018182126,0.2930522435281061,0.1194768970067342,13.014251693742892,9.724460600370302,0.2541991617055755,0.0972720306901031,0.6779876878019611,0.23919758218817577,-0.03885308182253061,-0.0222048663166311
Dublin Airport,16,13.694568990957102,9.75705894215221,0.2785042323202874,0.161824494937928,14.30127502002205,9.628305634620656,0.2465400403486252,0.1728849865480021,0.6067060290649486,-0.12875330753155367,-0.031964191971662226,0.011060491610074108
Dublin Airport,17,11.588252202157028,9.249662317988111,0.2978323112615454,0.113259511315169,11.359059066516888,8.76571565782447,0.3117198252299763,0.1596541885669372,-0.22919313564013954,-0.48394666016364063,0.013887513968430909,0.0463946772517682
Dublin Airport,18,10.03131110330624,7.975192773938701,0.3517261266252466,0.1816219079710168,11.761325251545385,8.22960362498977,0.2399238944621479,0.1555154209209468,1.7300141482391442,0.25441085105106787,-0.1118022321630987,-0.026106487050069987
Dublin Airport,19,9.67407439024884,7.823287894285372,0.3563440314495533,0.1602228217668057,10.566976588825112,7.540338436038923,0.296935574757848,0.1905955372848402,0.8929021985762713,-0.28294945824644824,-0.0594084566917053,0.0303727155180345
Dublin Airport,20,9.376651446928772,7.780421750960008,0.3369223198872075,0.1171730995848302,10.157644931212053,7.21697890953187,0.2816937182192438,0.1811056874548571,0.7809934842832806,-0.563442841428138,-0.05522860166796367,0.06393258787002691
Dublin Airport,21,12.058636205933023,8.509034524391375,0.2035826939683277,0.0905079978016041,12.551154541740411,8.246578246391106,0.1710541294212085,0.1185607557359805,0.4925183358073877,-0.2624562780002684,-0.03252856454711919,0.028052757934376407
Dublin Airport,22,12.207325359771357,8.266126171498309,0.2428932684349312,0.166128990317227,11.909845892589347,7.890207787160065,0.2613431499993319,0.2040509184614268,-0.29747946718200957,-0.3759183843382434,0.018449881564400694,0.03792192814419981
