station_id,province,municipality,station_code,first_date,last_date,usable_days,usable_years,coverage_total,support_days,source_years_present,usable_days_2020,usable_days_2021,usable_days_2022,usable_days_2023
11028001_10_49,11,28,1,2020-01-02,2023-12-29,1324,3,0.908093278464,1458,4,346,347,336,295
11033004_10_49,11,33,4,2020-01-01,2023-12-31,1393,4,0.953456536619,1461,4,358,353,358,324
12005005_10_49,12,5,5,2020-01-01,2023-12-31,1276,3,0.873374401095,1461,4,336,340,293,307
12009007_10_46,12,9,7,2020-01-01,2023-12-31,1295,3,0.886379192334,1461,4,335,348,288,324
12028001_10_46,12,28,1,2020-01-01,2023-12-30,1329,4,0.910273972603,1460,4,360,319,305,345
12032001_10_46,12,32,1,2020-01-01,2023-12-31,1385,4,0.947980835044,1461,4,363,352,340,330
12040008_10_46,12,40,8,2020-01-01,2023-12-31,1434,4,0.981519507187,1461,4,362,355,353,364
12040010_10_46,12,40,10,2020-01-01,2023-12-31,1397,4,0.956194387406,1461,4,362,350,338,347
12140002_10_46,12,140,2,2020-01-01,2023-12-31,1329,4,0.909650924025,1461,4,319,342,330,338
12141002_10_46,12,141,2,2020-01-01,2023-12-31,1346,3,0.921286789870,1461,4,288,361,335,362
13034002_10_49,13,34,2,2020-01-01,2023-12-31,1378,4,0.943189596167,1461,4,347,328,358,345
13071015_10_49,13,71,15,2020-01-01,2023-12-31,1409,4,0.964407939767,1461,4,348,360,349,352
13071017_10_49,13,71,17,2020-01-01,2023-12-31,1401,4,0.958932238193,1461,4,346,346,344,365
14021006_10_49,14,21,6,2020-01-01,2023-12-31,1427,4,0.976728268309,1461,4,354,364,349,360
14021007_10_49,14,21,7,2020-01-01,2023-12-31,1409,4,0.964407939767,1461,4,341,357,361,350
14021009_10_49,14,21,9,2020-01-01,2023-12-31,1399,4,0.957563312799,1461,4,346,342,363,348
14026002_10_49,14,26,2,2020-01-01,2023-06-18,1139,3,0.900395256917,1265,4,336,339,344,120
14047001_10_49,14,47,1,2020-01-01,2022-12-21,992,3,0.913443830571,1086,3,322,335,335,0
15005011_10_47,15,5,11,2020-01-01,2023-12-31,1460,4,0.999315537303,1461,4,365,365,365,365
15005014_10_49,15,5,14,2020-06-04,2023-12-31,1242,3,0.950995405819,1306,4,192,358,360,332
15023004_10_47,15,23,4,2020-01-01,2023-12-31,1453,4,0.994524298426,1461,4,362,364,365,362
15030021_10_47,15,30,21,2020-01-01,2023-12-31,1451,4,0.993155373032,1461,4,366,360,362,363
15030027_10_49,15,30,27,2020-01-01,2023-12-31,1430,4,0.978781656400,1461,4,358,363,357,352
15030028_10_49,15,30,28,2020-01-01,2023-12-31,1448,4,0.991101984942,1461,4,362,361,365,360
15032001_10_46,15,32,1,2020-02-01,2023-12-31,1416,4,0.990209790210,1430,4,332,358,364,362
15034008_10_47,15,34,8,2020-01-01,2023-12-31,1443,4,0.987679671458,1461,4,359,360,360,364
15036003_10_49,15,36,3,2020-01-01,2023-12-31,1426,4,0.976043805613,1461,4,348,358,362,358
15036004_10_47,15,36,4,2020-01-01,2023-12-31,1448,4,0.991101984942,1461,4,365,362,360,361
15041001_10_47,15,41,1,2020-01-01,2023-12-31,1446,4,0.989733059548,1461,4,366,359,359,362
15070002_10_47,15,70,2,2020-01-01,2023-12-31,1404,4,0.960985626283,1461,4,353,347,352,352
15070006_10_47,15,70,6,2020-01-01,2023-12-31,1305,3,0.893223819302,1461,4,248,359,355,343
15078005_10_49,15,78,5,2020-01-02,2023-12-31,1414,4,0.968493150685,1460,4,341,359,363,351
15078007_10_49,15,78,7,2020-01-01,2023-12-31,1428,4,0.977412731006,1461,4,360,355,356,357
15078008_10_49,15,78,8,2020-01-01,2023-12-31,1383,4,0.946611909651,1461,4,334,342,351,356
16078001_10_49,16,78,1,2020-01-01,2023-12-31,1367,4,0.935660506502,1461,4,329,354,332,352
18021001_10_49,18,21,1,2020-01-01,2023-12-31,1273,3,0.871321013005,1461,4,348,299,313,313
18087007_10_49,18,87,7,2020-01-01,2023-12-31,1452,4,0.993839835729,1461,4,365,363,364,360
18087010_10_49,18,87,10,2020-01-01,2023-12-30,1431,4,0.980136986301,1460,4,358,361,361,351
18140001_10_49,18,140,1,2020-01-01,2023-12-31,1343,4,0.919233401780,1461,4,339,338,341,325
19130001_10_49,19,130,1,2020-01-01,2023-12-31,1420,4,0.971937029432,1461,4,358,345,359,358
20009001_10_49,20,9,1,2021-01-01,2023-12-31,1070,3,0.977168949772,1095,3,0,365,356,349
20016001_10_47,20,16,1,2020-01-01,2023-12-31,1362,4,0.932238193018,1461,4,346,335,334,347
20018001_10_47,20,18,1,2020-01-01,2023-12-31,1416,4,0.969199178645,1461,4,364,355,350,347
20019001_10_49,20,19,1,2020-01-01,2023-12-31,1430,4,0.978781656400,1461,4,361,355,363,351
20040001_10_47,20,40,1,2020-01-01,2023-12-31,1427,4,0.976728268309,1461,4,364,340,365,358
20055001_10_47,20,55,1,2020-01-01,2023-12-31,1431,4,0.979466119097,1461,4,362,361,355,353
20069002_10_49,20,69,2,2020-01-01,2023-12-31,1422,4,0.973305954825,1461,4,361,344,364,353
20069004_10_47,20,69,4,2020-01-01,2023-12-31,1358,4,0.929500342231,1461,4,331,342,329,356
20069005_10_47,20,69,5,2020-01-01,2023-12-31,1361,4,0.931553730322,1461,4,347,320,348,346
20069006_10_46,20,69,6,2021-01-19,2023-12-31,1070,3,0.993500464253,1077,3,0,344,365,361
20069007_10_49,20,69,7,2021-01-01,2023-12-31,1082,3,0.988127853881,1095,3,0,362,363,357
20071001_10_47,20,71,1,2020-01-01,2023-12-31,1425,4,0.975359342916,1461,4,366,360,338,361
20073001_10_49,20,73,1,2021-01-01,2023-12-31,1083,3,0.989041095890,1095,3,0,364,365,354
20080001_10_49,20,80,1,2020-01-01,2023-12-31,1450,4,0.992470910335,1461,4,366,360,363,361
21005002_10_49,21,5,2,2020-01-01,2023-12-30,1262,3,0.864383561644,1460,4,323,328,280,331
21041008_10_49,21,41,8,2020-01-01,2023-12-31,1258,3,0.861054072553,1461,4,322,328,299,309
21041016_10_49,21,41,16,2020-01-02,2023-12-31,1285,4,0.880136986301,1460,4,331,321,316,317
21041017_10_49,21,41,17,2020-01-01,2023-12-31,1345,4,0.920602327173,1461,4,344,353,337,311
21050001_10_49,21,50,1,2020-01-01,2023-12-28,1190,3,0.816186556927,1458,4,316,316,326,232
21055004_10_49,21,55,4,2020-01-08,2023-12-31,1350,4,0.928473177442,1454,4,319,343,342,346
21055007_10_49,21,55,7,2020-01-01,2023-12-31,1322,4,0.904859685147,1461,4,313,352,322,335
21060002_10_49,21,60,2,2020-01-01,2023-12-31,1277,4,0.874058863792,1461,4,306,310,331,330
