dataset,model,horizon,n,rmse_model,var_true,var_pred,alpha,n_pers,rmse_pers,skill,collapse_flag,near_ideal_flag
e1_rr_08019004_10_M,seasonal_naive,4,1345,10.672943591486991,71.21304235154295,67.47806721300148,0.947552091369671,1345,10.522030702840786,-0.01434256303827941,False,False
e1_rr_08019004_10_M,seasonal_naive,5,1339,10.66437922790887,71.04094819570967,67.21673312990366,0.9461688622838937,1339,10.63238251188388,-0.0030093646451514466,False,False
e1_rr_08019004_10_M,seasonal_naive,6,1334,10.635656486815812,71.12710876758022,67.32772354452459,0.946583162328856,1334,10.47586825004037,-0.015252982660871606,False,False
e1_rr_08019004_10_M,seasonal_naive,7,1331,10.679226342846333,71.84032562243128,66.91579860924914,0.9314517720999232,1331,10.679226342846333,0.0,False,False
e1_rr_08019004_10_M,stl_ridge_direct,1,1354,25.65656376815318,65.36390512601209,116.30249834695158,1.7793076794101776,1354,7.318721567095018,-2.505607302169429,False,False
e1_rr_08019004_10_M,stl_ridge_direct,2,1347,26.349990359585952,65.96564904605302,106.80724305041286,1.619134270563257,1347,9.11668441208953,-1.8903041027331748,False,False
e1_rr_08019004_10_M,stl_ridge_direct,3,1347,26.580578518666165,70.19233143133658,102.55683056002192,1.461083119319735,1347,9.969018823479837,-1.6663184200296062,False,False
e1_rr_08019004_10_M,stl_ridge_direct,4,1345,26.77368245588899,71.21304235154295,101.96141876645345,1.4317801262179086,1345,10.522030702840786,-1.5445356711096188,False,False
e1_rr_08019004_10_M,stl_ridge_direct,5,1339,26.811506658467387,71.04094819570967,98.51146412484167,1.386685659845838,1339,10.63238251188388,-1.5216837927435356,False,False
e1_rr_08019004_10_M,stl_ridge_direct,6,1334,26.81374266850429,71.12710876758022,93.91542196143641,1.3203885774173785,1334,10.47586825004037,-1.5595723455572248,False,False
e1_rr_08019004_10_M,stl_ridge_direct,7,1331,26.82323599497739,71.84032562243128,90.81936620906164,1.264183665959114,1331,10.679226342846333,-1.5117208994212774,False,False
e1_rr_08019028_10_M,hgb_direct,1,1437,7.8002516281572465,93.62910624808411,45.580267168391124,0.4868172835872158,1437,8.28329808348551,0.058315715607448415,True,False
e1_rr_08019028_10_M,hgb_direct,2,1426,9.024096728325807,92.0626845460679,24.989336576906613,0.27143827817015287,1426,10.608322237812267,0.14933798898374828,True,False
e1_rr_08019028_10_M,hgb_direct,3,1418,9.47743658802738,91.4254974029255,19.283799359581753,0.2109236472030908,1418,11.661563025005599,0.18729276961371732,True,False
e1_rr_08019028_10_M,hgb_direct,4,1410,9.714616152832491,93.08621912881645,15.37945764353534,0.16521734137952931,1410,12.31563441580781,0.2111964495825539,True,False
e1_rr_08019028_10_M,hgb_direct,5,1402,9.70898881937661,92.91210811536811,13.520093573479462,0.14551487257927337,1402,12.468926284242883,0.22134523871185563,True,False
e1_rr_08019028_10_M,hgb_direct,6,1400,9.703009210150034,93.72456685714286,13.072871316860263,0.1394818002924061,1400,12.286768434841951,0.21028794010352425,True,False
e1_rr_08019028_10_M,hgb_direct,7,1396,9.75167795112913,94.63599104276649,13.1791119592992,0.13926109732758535,1396,12.090364156803801,0.19343389292030422,True,False
e1_rr_08019028_10_M,ridge_direct,1,1437,7.4903984947033715,93.62910624808411,44.78087492804759,0.4782794231677707,1437,8.28329808348551,0.09572269170935066,True,False
e1_rr_08019028_10_M,ridge_direct,2,1426,8.76867015216874,92.0626845460679,18.88036532418058,0.2050816290799439,1426,10.608322237812267,0.173415931794217,True,False
e1_rr_08019028_10_M,ridge_direct,3,1418,9.1441013857041,91.4254974029255,10.707485117275047,0.11711705619807129,1418,11.661563025005599,0.21587686263868466,True,False
e1_rr_08019028_10_M,ridge_direct,4,1410,9.379069638036913,93.08621912881645,7.290626439449052,0.07832122206360095,1410,12.31563441580781,0.23844202244276191,True,False
e1_rr_08019028_10_M,ridge_direct,5,1402,9.401096536118462,92.91210811536811,6.249195337488143,0.06725921372625163,1402,12.468926284242883,0.24603800505271012,True,False
e1_rr_08019028_10_M,ridge_direct,6,1400,9.445445958126134,93.72456685714286,5.918712677499217,0.06315006700986578,1400,12.286768434841951,0.2312505921946567,True,False
e1_rr_08019028_10_M,ridge_direct,7,1396,9.501977379778618,94.63599104276649,5.573776082642276,0.058897001248958844,1396,12.090364156803801,0.21408675069299543,True,False
e1_rr_08019028_10_M,sarima,1,167,6.814818886313892,97.42404460539998,51.49142892815356,0.5285289595264814,1437,8.28329808348551,0.1772819452313733,False,False
e1_rr_08019028_10_M,sarima,2,168,8.191548889653124,76.99915780895692,25.08475629567701,0.32577961901758656,1426,10.608322237812267,0.2278186214540886,True,False
e1_rr_08019028_10_M,sarima,3,168,8.015149045257335,65.12235225340136,12.216201359148751,0.1875884536789086,1418,11.661563025005599,0.3126865559899088,True,False
e1_rr_08019028_10_M,sarima,4,162,10.832047784543603,126.780524691358,14.027954403280788,0.11064754967240646,1410,12.31563441580781,0.12046367902573829,True,False
e1_rr_08019028_10_M,sarima,5,164,10.081745946251884,109.96330606781676,11.750310116531958,0.10685664642790284,1402,12.468926284242883,0.19145035294720647,True,False
e1_rr_08019028_10_M,sarima,6,166,9.071754748045636,81.93570946436348,7.8990862384205816,0.09640590519151057,1400,12.286768434841951,0.261664708979084,True,False
e1_rr_08019028_10_M,sarima,7,166,11.416746718984056,128.7172960516766,10.89958278808674,0.08467846297603115,1396,12.090364156803801,0.055715231492069583,True,False
