dataset,model,horizon,n_recomputed,n_canonical,n_match,alpha_recomputed,alpha_canonical,alpha_abs_diff,alpha_within_tol,skill_recomputed,skill_canonical,skill_abs_diff,skill_within_tol,collapse_flag_recomputed,collapse_flag_canonical,collapse_match,near_ideal_flag_recomputed,near_ideal_flag_canonical,near_ideal_match
e1_rr_08019043_10_M,ridge_direct,2,1148,1148,True,0.15348452380911548,0.1534845238091154,8.326672684688674e-17,True,0.1715787853161801,0.1715787853161801,0.0,True,True,True,True,False,False,True
e1_rr_08019043_10_M,ridge_direct,3,1139,1139,True,0.08704455577266687,0.0870445557726668,6.938893903907228e-17,True,0.19293662855898885,0.192936628558989,1.3877787807814457e-16,True,True,True,True,False,False,True
e1_rr_08019043_10_M,ridge_direct,4,1134,1134,True,0.06046790472837057,0.0604679047283705,6.938893903907228e-17,True,0.22885590548950496,0.2288559054895049,5.551115123125783e-17,True,True,True,True,False,False,True
e1_rr_08019043_10_M,ridge_direct,5,1127,1127,True,0.05294181890488775,0.0529418189048877,4.85722573273506e-17,True,0.24390651756085446,0.2439065175608544,5.551115123125783e-17,True,True,True,True,False,False,True
e1_rr_08019043_10_M,ridge_direct,6,1123,1123,True,0.0516576460973275,0.0516576460973275,0.0,True,0.23553844113146793,0.2355384411314679,2.7755575615628914e-17,True,True,True,True,False,False,True
e1_rr_08019043_10_M,ridge_direct,7,1118,1118,True,0.05216975214930468,0.0521697521493046,7.632783294297951e-17,True,0.21449506416254394,0.2144950641625439,2.7755575615628914e-17,True,True,True,True,False,False,True
e1_rr_08019043_10_M,sarima,1,143,143,True,0.5003396450888176,0.5003396450888176,0.0,True,0.029604745686398926,0.0884018398166911,0.058797094130292174,False,False,False,True,False,False,True
e1_rr_08019043_10_M,sarima,2,144,144,True,0.3009172521351125,0.3009172521351125,0.0,True,0.3025057640393328,0.277205994207367,0.0252997698319658,False,True,True,True,False,False,True
e1_rr_08019043_10_M,sarima,3,141,141,True,0.1469481211691042,0.1469481211691042,0.0,True,0.32029478648636367,0.3511822451715841,0.030887458685220415,False,True,True,True,False,False,True
e1_rr_08019043_10_M,sarima,4,141,141,True,0.07307000519129468,0.0730700051912946,8.326672684688674e-17,True,0.35177166010483996,0.3475563250897877,0.0042153350150522795,False,True,True,True,False,False,True
e1_rr_08019043_10_M,sarima,5,143,143,True,0.07635277216128204,0.076352772161282,4.163336342344337e-17,True,0.32522900943908606,0.3500120881633911,0.02478307872430502,False,True,True,True,False,False,True
e1_rr_08019043_10_M,sarima,6,143,143,True,0.07331421873889071,0.0733142187388907,1.3877787807814457e-17,True,0.1569747551182794,0.2736650568810841,0.1166903017628047,False,True,True,True,False,False,True
e1_rr_08019043_10_M,sarima,7,142,142,True,0.16574104631170636,0.1657410463117063,5.551115123125783e-17,True,0.3002049172767741,0.301993472892385,0.001788555615610865,False,True,True,True,False,False,True
e1_rr_08019043_10_M,seasonal_naive,1,1155,1155,True,0.8389731502564657,0.8389731502564657,0.0,True,-0.36668124264044866,-0.3666812426404486,5.551115123125783e-17,True,False,False,True,False,False,True
e1_rr_08019043_10_M,seasonal_naive,2,1148,1148,True,0.8444726540735621,0.8444726540735621,0.0,True,-0.1169428731225386,-0.1169428731225386,0.0,True,False,False,True,False,False,True
e1_rr_08019043_10_M,seasonal_naive,3,1139,1139,True,0.8484427934472593,0.8484427934472593,0.0,True,-0.05788207950711133,-0.0578820795071113,2.7755575615628914e-17,True,False,False,True,False,False,True
e1_rr_08019043_10_M,seasonal_naive,4,1134,1134,True,0.8223697389430261,0.8223697389430261,0.0,True,0.024271081910138936,0.0242710819101389,3.469446951953614e-17,True,False,False,True,True,True,True
e1_rr_08019043_10_M,seasonal_naive,5,1127,1127,True,0.8320481286869505,0.8320481286869505,0.0,True,0.048868980691266994,0.0488689806912669,9.71445146547012e-17,True,False,False,True,True,True,True
e1_rr_08019043_10_M,seasonal_naive,6,1123,1123,True,0.8632973445864804,0.8632973445864804,0.0,True,0.03119086568179208,0.031190865681792,7.979727989493313e-17,True,False,False,True,True,True,True
e1_rr_08019043_10_M,seasonal_naive,7,1118,1118,True,0.8888571097663708,0.8888571097663708,0.0,True,0.0,0.0,0.0,True,False,False,True,False,False,True
