dataset,station,model,horizon,threshold_type,threshold_value,recall,precision,f1,flag_rate,base_rate,station_id,station_name,station_type,province
e1_rr_08019004_10_M,08019004_10_M,sarima,4,p90,35.59934911242603,0.0,,,0.0,0.0828402366863905,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,sarima,5,abs_50,50.0,0.0,,,0.0,0.0246913580246913,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,sarima,5,p75,29.40263975155279,0.0,,,0.0,0.1739130434782608,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,sarima,5,p90,35.58267080745342,0.0,,,0.0,0.062111801242236,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,sarima,6,abs_50,50.0,0.0,,,0.0,0.0121951219512195,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,sarima,6,p75,29.466871165644175,0.0,,,0.0,0.1901840490797546,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,sarima,6,p90,35.66417177914111,0.0,,,0.0,0.0797546012269938,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,sarima,7,abs_50,50.0,0.0,,,0.0,0.0061728395061728,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,sarima,7,p75,29.45621118012422,0.0,,,0.0,0.186335403726708,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,sarima,7,p90,35.659751552795036,0.0,,,0.0,0.0807453416149068,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,1,abs_50,50.0,0.0,0.0,,0.0103397341211226,0.0088626292466765,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,1,p75,28.828914327917285,0.2703862660944206,0.2850678733031674,0.2775330396475771,0.1632200886262924,0.1720827178729689,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,1,p90,35.16906203840473,0.1149425287356321,0.1162790697674418,0.1156069364161849,0.0635155096011816,0.0642540620384047,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,2,abs_50,50.0,0.0,0.0,,0.0103934669636228,0.0096510764662212,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,2,p75,28.831607275426876,0.2813852813852814,0.2914798206278027,0.2863436123348017,0.1655530809205642,0.1714922048997773,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,2,p90,35.17281365998515,0.1162790697674418,0.1149425287356321,0.1156069364161849,0.0645879732739421,0.0638455827765404,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,3,abs_50,50.0,0.0,0.0,,0.0096510764662212,0.0111358574610244,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,3,p75,28.827004454342983,0.293103448275862,0.3022222222222222,0.2975929978118162,0.1670378619153674,0.1722345953971789,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,3,p90,35.167297698589465,0.1123595505617977,0.1162790697674418,0.1142857142857142,0.0638455827765404,0.0660727542687453,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,4,abs_50,50.0,0.0,0.0,,0.0104089219330855,0.0111524163568773,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,4,p75,28.82587360594796,0.3037974683544304,0.3116883116883117,0.3076923076923077,0.1717472118959107,0.1762081784386617,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,4,p90,35.16591821561339,0.1208791208791208,0.125,0.1229050279329608,0.0654275092936803,0.0676579925650557,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,5,abs_50,50.0,0.0,0.0,,0.0104555638536221,0.0104555638536221,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,5,p75,28.82520537714712,0.2970711297071129,0.3141592920353982,0.3053763440860215,0.1687826736370425,0.1784914115011202,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
e1_rr_08019004_10_M,08019004_10_M,seasonal_naive,5,p90,35.16529499626587,0.1098901098901098,0.1149425287356321,0.1123595505617977,0.0649738610903659,0.0679611650485436,08019004_10_M,Barcelona El Poblenou,Urban/Background,Barcelona
