dataset,model,horizon,mse,bias_sq,cond_bias_sq,irreducible_sq,rho,std_pred_ug,std_true_ug,alpha
e1_rr_08019045_10_M,persistence,1,62.129676985195154,0.001752036504005829,11.995800146036714,50.13212480265436,0.6089001098564717,8.898447465140205,8.92585173130824,0.99386900017514
e1_rr_08019045_10_M,persistence,2,96.33270325203253,0.009061079347242863,28.709485174708668,67.61415699797661,0.3958512910707247,8.902659213431535,8.954210848597704,0.9885186448709231
e1_rr_08019045_10_M,persistence,3,117.41346284935241,0.01616208716275198,42.70593582338608,74.6913649388036,0.265381650786907,8.913813517592459,8.963828643748863,0.9888718103812012
e1_rr_08019045_10_M,persistence,4,132.8585880740233,0.021877228199058553,54.71196115217853,78.12474969364571,0.17377917651256833,8.9564883052325,8.975384259558037,0.9957938149785238
e1_rr_08019045_10_M,persistence,5,136.1276960110041,0.022872921826427865,57.42173556383306,78.68308752534466,0.15474006374619395,8.967045626467556,8.978492771200301,0.9974517220772176
e1_rr_08019045_10_M,persistence,6,136.12705031013095,0.0737697046785857,56.702681964445034,79.35059864100731,0.1581813186951039,8.957147123751012,9.021474925866107,0.9857898054761877
e1_rr_08019045_10_M,persistence,7,134.6252729785764,0.09461895043912903,55.706629822504766,78.82402420563245,0.15821257219222543,8.886261646757346,8.991537224062297,0.9767204926369417
e1_rr_08019045_10_M,ridge_direct,1,50.97738554622787,0.0026029520978125683,0.31101251657252915,50.663770077557544,0.6033956585749191,5.943505145514169,8.92585173130824,0.4433900563206618
e1_rr_08019045_10_M,ridge_direct,2,67.81401188613209,0.00507160076777166,0.05539387532199324,67.75354641004232,0.3936492636972986,3.760177542468326,8.954210848597704,0.17634456097684412
e1_rr_08019045_10_M,ridge_direct,3,74.47936253054057,0.014476454371746907,0.03141139026166032,74.43347468590717,0.27136137870009747,2.609669487234332,8.963828643748863,0.08475862912913652
e1_rr_08019045_10_M,ridge_direct,4,77.54586552990212,0.021214979964114356,0.04242016051773543,77.48223038942027,0.1953845161132296,1.9596126615505858,8.975384259558037,0.04766881675416533
e1_rr_08019045_10_M,ridge_direct,5,78.35306068128688,0.02103921124451512,0.10427600137990671,78.22774546866248,0.1720260391818171,1.86745249762281,8.978492771200301,0.04326057148630252
e1_rr_08019045_10_M,ridge_direct,6,79.48542045725505,0.014270812863463263,0.097497136703484,79.3736525076881,0.1572833981846953,1.7311735479206523,9.021474925866107,0.03682358964882066
e1_rr_08019045_10_M,ridge_direct,7,79.2004622303496,0.028610229500329095,0.10412850411461884,79.06772349673466,0.1483809917046268,1.6568626958520625,8.991537224062297,0.03395511039421236
e1_rr_08019045_10_M,sarima,1,73.5144618171251,0.0002930152857999614,13.090232925580173,60.4239358762591,0.45850939637461846,7.62858098702549,8.746905354878217,0.7606391377573289
e1_rr_08019045_10_M,sarima,2,81.70158612843507,0.18359054669837713,7.118886348600093,74.3991092331366,0.2413993559124579,4.8137678634985255,8.888357344522715,0.29331027258002423
e1_rr_08019045_10_M,sarima,3,65.89019123540575,0.011149803581719683,1.6824256819599668,64.19661574986407,0.2566399094960913,3.4246111928816543,8.289933034060308,0.1706555822445474
e1_rr_08019045_10_M,sarima,4,73.10853607191763,0.35405680296873926,1.1829556563829984,71.57152361256588,0.15536519466968285,2.4181831718916835,8.563987097141144,0.07973084752496609
e1_rr_08019045_10_M,sarima,5,60.49119711159607,0.016493814767023312,0.5533155696853973,59.92138772714367,0.16436046713661892,2.0336895972833156,7.847615507288812,0.06715740414301812
e1_rr_08019045_10_M,sarima,6,63.14996904622845,0.012969249079869669,0.008883454441412008,63.12811634270715,0.20968685889624705,1.7981616656771533,8.125972201617063,0.04896737294453698
