station,station_id,station_name,dataset,model,h,n,Skill_h,phi_h,r_h,alpha_h,beta_h,KGE_h,KGE_persistence_h,KGE_skill_h,mae_skill,skill_vp,alpha_source,province,station_type,station_class,lat,lon,altitude_m,dem_code,phi_source_sqrt_alpha,abs_alpha_h_minus_phi_source_sqrt_alpha,abs_alpha_h_minus_phi_h
45153999_10_M,45153999_10_M,San Pablo de los Montes,e1_rr_45153999_10_M,hgb_direct,5,1533,0.2624578096915761,0.31679707936228585,0.17978506417080872,0.31679707936228585,0.9326341727106396,-0.06960596782720274,0.09686836422119138,1.7185624366306311,0.2206347298881108,0.0263403680059883,0.1003603894924744,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R,0.3167970793622858,5.551115123125783e-17,0.0
45153999_10_M,45153999_10_M,San Pablo de los Montes,e1_rr_45153999_10_M,hgb_direct,6,1529,0.2654950040980207,0.2932270324772775,0.13253064823788535,0.2932270324772775,0.9240079764108441,-0.12151945659298913,0.07272190898648168,2.6710157679658613,0.2258581721663677,0.0228278160206702,0.0859820925754303,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R,0.2932270324772774,1.1102230246251565e-16,0.0
45153999_10_M,45153999_10_M,San Pablo de los Montes,e1_rr_45153999_10_M,hgb_direct,7,1526,0.2660563699960706,0.27766536886481463,0.11629574454072122,0.27766536886481463,0.9229631695329213,-0.14395594482587315,0.06796348556032983,3.118136579356077,0.2260473105061421,0.0205124291969516,0.0770980570668335,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R,0.2776653688648145,1.1102230246251565e-16,0.0
45153999_10_M,45153999_10_M,San Pablo de los Montes,e1_rr_45153999_10_M,ridge_direct,1,1551,0.0990226175122347,0.6218808987322489,0.504203304468607,0.6218808987322489,0.9584817837777014,0.3750902622604908,0.5320889190012529,0.2950609402568528,0.0322171578921048,0.0382955963714638,0.3867358522080297,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R,0.6218808987322489,0.0,0.0
45153999_10_M,45153999_10_M,San Pablo de los Montes,e1_rr_45153999_10_M,ridge_direct,2,1546,0.1863445512844097,0.3995944137599563,0.2471638066894517,0.3995944137599563,0.931712116222352,0.034643880727222354,0.27161577757959654,0.8724526202566785,0.1065429202804422,0.0297546958304946,0.1596756955081631,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R,0.39959441375995625,5.551115123125783e-17,0.0
45153999_10_M,45153999_10_M,San Pablo de los Montes,e1_rr_45153999_10_M,ridge_direct,3,1539,0.228613020293565,0.30891491052569253,0.15058759533251875,0.30891491052569253,0.9173867463446214,-0.09814615774778912,0.15507068640498012,1.6329123835272914,0.1701960626946838,0.0218161797627172,0.0954284219450966,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R,0.3089149105256925,5.551115123125783e-17,0.0
45153999_10_M,45153999_10_M,San Pablo de los Montes,e1_rr_45153999_10_M,ridge_direct,4,1536,0.2459764884341624,0.25821063311898546,0.12085832239792663,0.25821063311898546,0.9090476176888634,-0.15386909567887974,0.11599192303643924,2.3265500877206877,0.2034850474855543,0.0163999242593982,0.0666727310557073,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R,0.25821063311898546,0.0,0.0
45153999_10_M,45153999_10_M,San Pablo de los Montes,e1_rr_45153999_10_M,ridge_direct,5,1533,0.2550826002632598,0.2274044512064251,0.10869717267963634,0.2274044512064251,0.9064522048753609,-0.18324798836828826,0.09686836422119138,2.8917217178340673,0.2238415966965238,0.013191031518874,0.0517127844284953,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R,0.22740445120642494,1.6653345369377348e-16,0.0
45153999_10_M,45153999_10_M,San Pablo de los Montes,e1_rr_45153999_10_M,ridge_direct,6,1529,0.2690557962497393,0.19346568023030877,0.10983976820533853,0.19346568023030877,0.9030934949143419,-0.205103198055254,0.07272190898648168,3.82037698011174,0.241651484804885,0.0100704811719822,0.037428969426976,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R,0.19346568023030855,2.220446049250313e-16,0.0
45153999_10_M,45153999_10_M,San Pablo de los Montes,e1_rr_45153999_10_M,ridge_direct,7,1526,0.2750357126630899,0.1765893244887361,0.13229184563842858,0.1765893244887361,0.903486584804755,-0.2000989213411244,0.06796348556032983,3.944212170570631,0.2519388322875983,0.0085766557751008,0.0311837895233881,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R,0.17658932448873602,8.326672684688674e-17,0.0
