dataset,model,horizon,n,skill,mae_skill,alpha,alpha_ci_low,alpha_ci_high,skill_vp,collapse_flag,inflation_flag,near_ideal_flag,low_sample_flag,station_id,station_name,province,station_type,station_class,lat,lon,altitude_m,dem_code,dm_pval_bh,dm_significant,dm_stat,n_pairs,bias_sq,cond_bias_sq,irreducible_sq,rho,std_pred_ug,std_true_ug,base_rate_abs_50,base_rate_p75,base_rate_p90,f1_abs_50,f1_p75,f1_p90,flag_rate_abs_50,flag_rate_p75,flag_rate_p90,precision_abs_50,precision_p75,precision_p90,recall_abs_50,recall_p75,recall_p90,obs_mean_ug,obs_std_ug,observed_range_ug,rule_a,rule_b,discordant
e1_rr_08019045_10_M,lightgbm_direct,2,1476,0.1516798569812571,0.1348492134546322,0.2178839771743914,0.1778839771743914,0.2578839771743914,0.0708011900571661,True,False,False,False,08019045_10_M,Barcelona Zona Universitaria,Barcelona,Urban/Background,urban,41.3849,2.1196,24,ES0567A,0.0055121381446656,True,2.985621539345834,1476,9.826048696118328e-05,0.7661204263065063,68.718757415546,0.3799396809029319,4.175209047896926,8.954210848597704,0.0094850948509485,0.2303523035230352,0.0928184281842818,,0.398510242085661,0.1767955801104972,0.0,0.1334688346883469,0.029810298102981,,0.5431472081218274,0.3636363636363636,0.0,0.3129411764705881,0.1167883211678832,21.287255393878574,8.692624700176909,17.385249400353818,True,False,True
e1_rr_08019052_10_M,lightgbm_direct,1,1731,0.1009825966037864,0.0693975177166613,0.4418806728529954,0.4018806728529954,0.4818806728529954,0.0671272780043613,True,False,False,False,08019052_10_M,Barcelona El Port Vell,Barcelona,Suburban/Industrial,industrial,41.37494,2.18684,1,ES1870A,0.001384596171271,True,3.3751110095430956,1731,0.3422483497641417,0.4134264490102905,65.1319532912692,0.6062796885343207,6.612537304479106,10.11913679497682,0.0161756210283073,0.1623339110340843,0.0652801848642403,0.25,0.5338208409506398,0.3820224719101123,0.0069324090121317,0.1536683997689197,0.0375505488157134,0.4166666666666667,0.5488721804511278,0.5230769230769231,0.1785714285714285,0.5190035587188612,0.3008849557522124,23.33068288119738,10.137760346696416,20.275520693392835,True,False,True
e1_rr_08019052_10_M,lightgbm_direct,2,1725,0.1595379660495125,0.1094738889562061,0.2199644719891567,0.1799644719891567,0.2599644719891567,0.0748238966016375,True,False,False,False,08019052_10_M,Barcelona El Port Vell,Barcelona,Suburban/Industrial,industrial,41.37494,2.18684,1,ES1870A,0.0001848898050287,True,3.9277317580909807,1725,0.6805982976628987,0.8883821011549748,87.28742851370498,0.3862006114822046,4.734743101210722,10.119803822485247,0.016231884057971,0.1623188405797101,0.0655072463768116,,0.360655737704918,0.1678321678321678,0.0,0.1205797101449275,0.017391304347826,,0.4230769230769231,0.4,0.0,0.3132857142857143,0.1061946902654867,23.33068288119738,10.137760346696416,20.275520693392835,True,False,True
e1_rr_08019052_10_M,lightgbm_direct,3,1720,0.1861385639881924,0.1465641725478116,0.1671100456941394,0.1271100456941394,0.2071100456941394,0.0760917615181827,True,False,False,False,08019052_10_M,Barcelona El Port Vell,Barcelona,Suburban/Industrial,industrial,41.37494,2.18684,1,ES1870A,2.295329581019523e-05,True,4.436168141454674,1720,1.2030056469301798,1.7242120524960367,93.99933374658455,0.2955753680597375,4.210550902604815,10.143960640016203,0.0162790697674418,0.1633720930232558,0.0662790697674418,,0.3211991434689507,0.0458015267175572,0.0,0.1081395348837209,0.0098837209302325,,0.4032258064516129,0.1764705882352941,0.0,0.2643416370106761,0.0263157894736842,23.33068288119738,10.137760346696416,20.275520693392835,True,False,True
e1_rr_08019054_10_M,lightgbm_direct,2,1416,0.15010790035337,0.1043429996394726,0.2589672944423525,0.2189672944423525,0.2989672944423525,0.0763881531309049,True,False,False,False,08019054_10_M,Barcelona Vall d'Hebron,Barcelona,Urban/Background,urban,41.42608,2.14799,136,ES1856A,0.0081638075933111,True,2.858209444716297,1416,0.1361736238226358,1.779634430704744,59.367389585439945,0.3572527803644855,4.179081680612341,8.243438611393099,0.0077683615819209,0.222457627118644,0.086864406779661,,0.4266666666666667,0.1829268292682926,0.0,0.1483050847457627,0.028954802259887,,0.5333333333333333,0.3658536585365853,0.0,0.3530158730158729,0.1219512195121951,19.551937984496124,8.627814231586045,17.25562846317209,True,False,True
e1_rr_08019054_10_M,lightgbm_direct,3,1406,0.1915504283706722,0.1318244502019624,0.1785230427846924,0.1385230427846924,0.2185230427846924,0.0809338626013473,True,False,False,False,08019054_10_M,Barcelona Vall d'Hebron,Barcelona,Urban/Background,urban,41.42608,2.14799,136,ES1856A,0.0005151290360319,True,3.7024664896038746,1406,0.3652840545606116,2.5384362679811883,64.01841501947165,0.2462773451537566,3.543295573538387,8.252778780368255,0.0078236130867709,0.2226173541963015,0.0853485064011379,,0.2956878850102669,0.0833333333333333,0.0,0.12375533428165,0.0170697012802275,,0.4137931034482758,0.25,0.0,0.2282428115015974,0.05,19.551937984496124,8.627814231586045,17.25562846317209,True,False,True
e1_rr_08263007_10_M,lightgbm_direct,1,1453,0.0899425967350431,0.0609543164939238,0.3782304405351112,0.3382304405351112,0.4182304405351111,0.0553150948246497,True,False,False,False,08263007_10_M,Sant Vicenc dels Horts Alaba,Barcelona,Suburban/Industrial,industrial,41.40077,1.99963,65,ES2011A,0.0004972262755921,True,3.649159392244244,1453,0.0324473023439095,0.0412723660141409,61.9823256678461,0.6018282468554037,5.968122923081984,9.830378008513131,0.0144528561596696,0.2167928423950447,0.0839642119752236,,0.5346153846153847,0.3295454545454545,0.0,0.1410874053682037,0.0371644872677219,,0.6780487804878049,0.5370370370370371,0.0,0.4419047619047618,0.2377049180327868,22.73650998483316,9.856245754142842,19.712491508285684,True,False,True
e1_rr_08263007_10_M,lightgbm_direct,2,1439,0.1462244804889355,0.1230556067818508,0.2598169820443374,0.2198169820443374,0.2998169820443374,0.0745339013068921,True,False,False,False,08263007_10_M,Sant Vicenc dels Horts Alaba,Barcelona,Suburban/Industrial,industrial,41.40077,1.99963,65,ES2011A,1.8282394602664454e-09,True,6.257911425768093,1439,0.1641206771300299,0.8535756088983166,80.01894699643339,0.4278637743782861,5.030056969410025,9.886005751972428,0.0138985406532314,0.2195969423210562,0.0847810979847116,,0.3881188118811881,0.0992907801418439,0.0,0.1313412091730368,0.0132036136205698,,0.5185185185185185,0.3684210526315789,0.0,0.3086075949367088,0.0573770491803278,22.73650998483316,9.856245754142842,19.712491508285684,True,False,True
e1_rr_08263007_10_M,lightgbm_direct,3,1429,0.1702170287694441,0.1366658312104804,0.2004447632410302,0.1604447632410302,0.2404447632410302,0.0762079646376726,True,False,False,False,08263007_10_M,Sant Vicenc dels Horts Alaba,Barcelona,Suburban/Industrial,industrial,41.40077,1.99963,65,ES2011A,1.0237166669924136e-10,True,6.747752299001613,1429,0.141676643231368,1.5283266379180256,87.49953253815261,0.3388561360780742,4.494628322067937,9.93592999456474,0.0146955913226032,0.2204338698390482,0.0846745976207137,,0.3531827515400411,0.0317460317460317,0.0,0.1203638908327501,0.0034989503149055,,0.5,0.4,0.0,0.2706031746031745,0.0165289256198347,22.73650998483316,9.856245754142842,19.712491508285684,True,False,True
e1_rr_08263007_10_M,lightgbm_direct,4,1425,0.1846063365908307,0.1504496918174977,0.170164971353739,0.130164971353739,0.210164971353739,0.076152065354668,True,False,False,False,08263007_10_M,Sant Vicenc dels Horts Alaba,Barcelona,Suburban/Industrial,industrial,41.40077,1.99963,65,ES2011A,4.5750174204606246e-11,True,6.881396423432201,1425,0.3442154056153479,2.2966949196351827,91.85557221223084,0.2809467590518727,4.219852800803601,9.982103537494178,0.0147368421052631,0.2203508771929824,0.0849122807017543,,0.2942430703624734,0.0161290322580645,0.0,0.1087719298245614,0.0021052631578947,,0.4451612903225806,0.3333333333333333,0.0,0.2173248407643312,0.0082644628099173,22.73650998483316,9.856245754142842,19.712491508285684,True,False,True
