date,pm10
2018-12-06,24.0
2018-12-07,23.0
2018-12-08,20.0
2018-12-09,15.0
2018-12-10,28.0
2018-12-11,32.0
2018-12-12,24.0
2018-12-13,9.0
2018-12-14,4.0
2018-12-15,9.0
2018-12-16,6.0
2018-12-17,17.0
2018-12-18,19.0
2018-12-19,11.0
2018-12-20,14.0
2018-12-21,11.0
2018-12-22,9.0
2018-12-23,17.0
2018-12-24,26.0
2018-12-25,18.0
2018-12-27,22.0
2018-12-28,19.0
2018-12-29,21.0
2018-12-30,18.0
2018-12-31,19.0
2019-01-01,15.0
2019-01-02,24.0
2019-01-03,27.0
2019-01-04,25.0
2019-01-05,23.0
2019-01-06,26.0
2019-01-07,27.0
2019-01-08,33.0
2019-01-09,27.0
2019-01-10,13.0
2019-01-11,27.0
2019-01-12,26.0
2019-01-13,22.0
2019-01-14,27.0
2019-01-15,31.0
2019-01-16,42.0
2019-01-17,48.0
2019-01-18,25.0
2019-01-19,20.0
2019-01-20,19.0
2019-01-21,14.0
2019-01-22,17.0
2019-01-23,24.0
2019-01-24,18.0
2019-01-25,14.0
2019-01-26,23.0
2019-02-12,20.0
2019-02-13,24.0
2019-02-14,20.0
2019-02-15,27.0
2019-02-16,29.0
2019-02-18,27.0
2019-02-19,31.0
2019-02-20,31.0
2019-02-21,38.0
2019-02-22,61.0
2019-02-23,47.0
2019-02-24,35.0
2019-02-25,36.0
2019-02-26,40.0
2019-02-27,49.0
2019-02-28,46.0
2019-03-01,44.0
2019-03-02,50.0
2019-03-03,43.0
2019-03-04,51.0
2019-03-05,35.0
2019-03-06,40.0
2019-03-07,31.0
2019-03-08,35.0
2019-03-09,32.0
2019-03-10,23.0
2019-03-11,32.0
2019-03-12,18.0
2019-03-13,34.0
2019-03-14,27.0
2019-03-15,38.0
2019-03-16,46.0
2019-03-17,50.0
2019-03-18,25.0
2019-03-19,21.0
2019-03-20,16.0
2019-03-21,22.0
2019-03-22,28.0
2019-03-23,35.0
2019-03-24,34.0
2019-03-25,33.0
2019-03-26,36.0
2019-03-27,29.0
2019-03-28,28.0
2019-03-29,26.0
2019-03-30,23.0
2019-03-31,14.0
2019-04-01,16.0
2019-04-02,28.0
2019-04-03,19.0
2019-04-04,14.0
2019-04-05,18.0
2019-04-06,7.0
2019-04-07,8.0
2019-04-08,11.0
2019-04-09,13.0
2019-04-10,9.0
2019-04-11,16.0
2019-04-12,19.0
2019-04-13,23.0
2019-04-14,23.0
2019-04-15,25.0
2019-04-17,23.0
2019-04-18,27.0
2019-04-19,21.0
2019-04-20,29.0
2019-04-21,22.0
2019-04-22,24.0
2019-04-23,17.0
2019-04-24,13.0
2019-04-25,15.0
2019-04-26,15.0
2019-04-27,18.0
2019-04-28,19.0
2019-04-29,21.0
2019-04-30,22.0
2019-05-01,22.0
2019-05-02,10.0
2019-05-03,22.0
2019-05-04,17.0
2019-05-05,24.0
2019-05-06,24.0
2019-05-07,34.0
2019-05-08,28.0
2019-05-09,15.0
2019-05-10,17.0
2019-05-11,20.0
2019-05-12,23.0
2019-05-13,26.0
2019-05-14,27.0
2019-05-15,31.0
2019-05-16,27.0
2019-05-17,25.0
2019-05-18,12.0
2019-05-19,12.0
2019-05-20,14.0
2019-05-21,18.0
2019-05-22,16.0
2019-05-23,24.0
2019-05-24,16.0
2019-05-25,12.0
2019-05-26,13.0
2019-05-27,17.0
2019-05-28,19.0
2019-05-29,12.0
2019-05-30,20.0
2019-05-31,24.0
2019-06-01,16.0
2019-06-02,16.0
2019-06-03,21.0
2019-06-04,20.0
2019-06-05,38.0
2019-06-07,28.0
2019-06-09,28.0
2019-06-12,17.0
2019-06-13,24.0
2019-06-14,32.0
2019-06-15,31.0
2019-06-16,23.0
2019-06-17,32.0
2019-06-18,26.0
2019-06-20,33.0
2019-06-30,32.0
2019-07-01,36.0
2019-07-02,28.0
2019-07-03,32.0
2019-07-04,33.0
2019-07-05,33.0
2019-07-06,43.0
2019-07-07,47.0
2019-07-08,45.0
2019-07-09,31.0
2019-07-10,23.0
