station_id,provincia,municipio,estacion,source_years_present,usable_years_300_days_at_75pct,overall_coverage_fraction,metadata_conflict_flag,included_under_proposed_contract,exclusion_reasons
28079038_10_47,28,79,38,4,4,0.9477241615331964,NO,YES,
28079040_10_47,28,79,40,4,4,0.9686002737850787,NO,YES,
28079047_10_47,28,79,47,4,4,0.9576488706365504,NO,YES,
28079048_10_47,28,79,48,4,4,0.9663757700205339,NO,YES,
28079050_10_47,28,79,50,4,4,0.9739048596851472,NO,YES,
28079055_10_47,28,79,55,4,4,0.9481519507186859,NO,YES,
28079056_10_47,28,79,56,4,4,0.98077800593201,NO,YES,
28079057_10_47,28,79,57,4,4,0.9765001140771161,NO,YES,
28079060_10_47,28,79,60,4,4,0.983145106091718,NO,YES,
28080003_10_49,28,80,3,4,4,0.9931268537531371,NO,YES,
28092005_10_49,28,92,5,4,4,0.9888204426192105,NO,YES,
28102001_10_49,28,102,1,4,4,0.9809206023271732,NO,YES,
28120001_10_49,28,120,1,4,4,0.9848562628336756,NO,YES,
28123002_10_49,28,123,2,4,4,0.9798083504449008,NO,YES,
28127004_10_49,28,127,4,1,0,0.10352498288843258,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
28133002_10_49,28,133,2,4,4,0.9904460415240702,NO,YES,
28134002_10_49,28,134,2,1,0,0.09804928131416837,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
28148004_10_49,28,148,4,4,4,0.9814054300707278,NO,YES,
28171001_10_49,28,171,1,4,4,0.9830310289755875,NO,YES,
29067005_10_49,29,67,5,4,4,0.9814054300707278,NO,YES,
29067006_10_49,29,67,6,4,4,0.9316392881587954,NO,YES,
29067007_10_49,29,67,7,4,2,0.8755418663016199,NO,NO,fewer_than_3_years_with_300_usable_days
29067008_10_49,29,67,8,4,4,0.9458989276751084,NO,YES,
29069002_10_49,29,69,2,1,1,0.20944558521560575,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
30005002_10_47,30,5,2,4,4,0.9898756559434178,NO,YES,
30015001_10_47,30,15,1,4,3,0.9433036732831394,NO,YES,
30016001_10_47,30,16,1,4,4,0.9707392197125256,NO,YES,
30016018_10_47,30,16,18,4,4,0.9461841204654347,NO,YES,
30016020_10_47,30,16,20,3,3,0.7264715947980835,NO,NO,overall_hourly_coverage_below_0.75
30016020_10_A,30,16,20,1,1,0.23876340406114532,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
30016021_10_47,30,16,21,4,4,0.9609000684462696,NO,YES,
30024002_10_47,30,24,2,4,4,0.9808920830481406,NO,YES,
30030007_10_49,30,30,7,4,4,0.9537417294090805,NO,YES,
31010001_10_49,31,10,1,4,4,0.9635238421172713,NO,YES,
31107001_10_49,31,107,1,4,4,0.9507472051106548,NO,YES,
31149002_10_49,31,149,2,4,4,0.9198608259183207,NO,YES,
31191001_10_49,31,191,1,4,4,0.9506331279945243,NO,YES,
31201012_10_49,31,201,12,4,4,0.9533139402235912,NO,YES,
31201013_10_49,31,201,13,1,0,0.17242756103125714,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
31201014_10_49,31,201,14,4,4,0.959502623773671,NO,YES,
31201015_10_49,31,201,15,4,3,0.7587268993839835,NO,YES,
31216001_10_49,31,216,1,4,4,0.9545117499429614,NO,YES,
31232002_10_49,31,232,2,4,4,0.9531143052703628,NO,YES,
31232003_10_49,31,232,3,4,4,0.9204597307780059,NO,YES,
32032001_10_49,32,32,1,4,4,0.9719940679899612,NO,YES,
32039001_10_49,32,39,1,4,4,0.9712240474560803,NO,YES,
32054004_10_49,32,54,4,4,4,0.9640942276979237,NO,YES,
33004020_10_49,33,4,20,4,4,0.9726500114077116,NO,YES,
33004021_10_49,33,4,21,4,4,0.9838010495094685,NO,YES,
33004048_10_49,33,4,48,4,4,0.9692847364818618,NO,YES,
33004049_10_49,33,4,49,4,4,0.9756445357061373,NO,YES,
33004052_10_49,33,4,52,4,4,0.9530002281542322,NO,YES,
33011001_10_49,33,11,1,4,4,0.9588466803559206,NO,YES,
33024023_10_49,33,24,23,1,1,0.2411305042208533,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
33024024_10_49,33,24,24,4,4,0.9770990189368013,NO,YES,
33024025_10_49,33,24,25,4,4,0.9734200319415925,NO,YES,
33024027_10_49,33,24,27,4,4,0.9699406798996122,NO,YES,
33024031_10_49,33,24,31,4,4,0.9747033994980607,NO,YES,
33024032_10_49,33,24,32,4,4,0.9816335843029889,NO,YES,
33024099_10_49,33,24,99,2,2,0.462554186630162,NO,NO,fewer_than_3_source_years;fewer_than_3_years_with_300_usable_days;overall_hourly_coverage_below_0.75
33031029_10_49,33,31,29,4,4,0.9613278576317591,NO,YES,
33031030_10_49,33,31,30,4,4,0.9675735797399042,NO,YES,
33031032_10_49,33,31,32,4,4,0.9475530458590007,NO,YES,
33037012_10_49,33,37,12,4,4,0.9547399041752225,NO,YES,
33044029_10_49,33,44,29,4,4,0.9807494866529775,NO,YES,
33044030_10_49,33,44,30,4,4,0.9603867214236824,NO,YES,
33044032_10_49,33,44,32,4,4,0.982460643394935,NO,YES,
33044033_10_49,33,44,33,4,4,0.9798939082819986,NO,YES,
33060003_10_49,33,60,3,4,4,0.9605863563769108,NO,YES,
33066004_10_49,33,66,4,4,4,0.976357517681953,NO,YES,
