station_id,horizon,expected_keys,xgboost_keys,sarima_keys,persistence_keys,common_keys,removed_keys,duplicate_xgboost_keys,duplicate_sarima_keys,y_true_mismatch_keys,y_persistence_mismatch_keys,reason
09059003_10_49,1,1022,1022,1022,1022,1022,0,0,0,0,0,OK
09059003_10_49,2,1020,1020,1020,1020,1020,0,0,0,0,0,OK
09059003_10_49,3,1019,1019,1019,1019,1019,0,0,0,0,0,OK
09059003_10_49,4,1017,1017,1017,1017,1017,0,0,0,0,0,OK
09059003_10_49,5,1015,1015,1015,1015,1015,0,0,0,0,0,OK
09059003_10_49,6,1013,1013,1013,1013,1013,0,0,0,0,0,OK
09059003_10_49,7,1012,1012,1012,1012,1012,0,0,0,0,0,OK
09059006_10_49,all,6014,6014,6014,6014,6014,0,0,0,0,0,OK
09059006_10_49,1,869,869,869,869,869,0,0,0,0,0,OK
09059006_10_49,2,864,864,864,864,864,0,0,0,0,0,OK
09059006_10_49,3,860,860,860,860,860,0,0,0,0,0,OK
09059006_10_49,4,857,857,857,857,857,0,0,0,0,0,OK
09059006_10_49,5,856,856,856,856,856,0,0,0,0,0,OK
09059006_10_49,6,855,855,855,855,855,0,0,0,0,0,OK
09059006_10_49,7,853,853,853,853,853,0,0,0,0,0,OK
09219002_10_49,all,6998,6998,6998,6998,6998,0,0,0,0,0,OK
09219002_10_49,1,1005,1005,1005,1005,1005,0,0,0,0,0,OK
09219002_10_49,2,1000,1000,1000,1000,1000,0,0,0,0,0,OK
09219002_10_49,3,999,999,999,999,999,0,0,0,0,0,OK
09219002_10_49,4,998,998,998,998,998,0,0,0,0,0,OK
09219002_10_49,5,999,999,999,999,999,0,0,0,0,0,OK
09219002_10_49,6,999,999,999,999,999,0,0,0,0,0,OK
09219002_10_49,7,998,998,998,998,998,0,0,0,0,0,OK
11004007_10_49,all,3889,3889,3889,3889,3889,0,0,0,0,0,OK
11004007_10_49,1,568,568,568,568,568,0,0,0,0,0,OK
11004007_10_49,2,563,563,563,563,563,0,0,0,0,0,OK
11004007_10_49,3,559,559,559,559,559,0,0,0,0,0,OK
11004007_10_49,4,555,555,555,555,555,0,0,0,0,0,OK
11004007_10_49,5,551,551,551,551,551,0,0,0,0,0,OK
11004007_10_49,6,547,547,547,547,547,0,0,0,0,0,OK
11004007_10_49,7,546,546,546,546,546,0,0,0,0,0,OK
11008001_10_49,all,3606,3606,3606,3606,3606,0,0,0,0,0,OK
11008001_10_49,1,532,532,532,532,532,0,0,0,0,0,OK
11008001_10_49,2,525,525,525,525,525,0,0,0,0,0,OK
11008001_10_49,3,518,518,518,518,518,0,0,0,0,0,OK
11008001_10_49,4,513,513,513,513,513,0,0,0,0,0,OK
11008001_10_49,5,508,508,508,508,508,0,0,0,0,0,OK
11008001_10_49,6,506,506,506,506,506,0,0,0,0,0,OK
11008001_10_49,7,504,504,504,504,504,0,0,0,0,0,OK
11008009_10_49,all,5924,5924,5924,5924,5924,0,0,0,0,0,OK
11008009_10_49,1,857,857,857,857,857,0,0,0,0,0,OK
11008009_10_49,2,851,851,851,851,851,0,0,0,0,0,OK
11008009_10_49,3,847,847,847,847,847,0,0,0,0,0,OK
11008009_10_49,4,845,845,845,845,845,0,0,0,0,0,OK
11008009_10_49,5,843,843,843,843,843,0,0,0,0,0,OK
11008009_10_49,6,841,841,841,841,841,0,0,0,0,0,OK
11008009_10_49,7,840,840,840,840,840,0,0,0,0,0,OK
11012002_10_49,all,5493,5493,5493,5493,5493,0,0,0,0,0,OK
11012002_10_49,1,792,792,792,792,792,0,0,0,0,0,OK
11012002_10_49,2,789,789,789,789,789,0,0,0,0,0,OK
11012002_10_49,3,786,786,786,786,786,0,0,0,0,0,OK
11012002_10_49,4,783,783,783,783,783,0,0,0,0,0,OK
11012002_10_49,5,782,782,782,782,782,0,0,0,0,0,OK
