station_id,provincia,municipio,estacion,first_timestamp_utc,last_timestamp_utc,expected_hourly_observations,observed_valid_pm10_observations,coverage_fraction,number_of_source_years_present,longest_missing_run_hours,days_with_sufficient_hourly_support_75pct,expected_hours_2020,valid_hours_2020,coverage_2020,source_days_2020,usable_days_75pct_2020,expected_hours_2021,valid_hours_2021,coverage_2021,source_days_2021,usable_days_75pct_2021,expected_hours_2022,valid_hours_2022,coverage_2022,source_days_2022,usable_days_75pct_2022,expected_hours_2023,valid_hours_2023,coverage_2023,source_days_2023,usable_days_75pct_2023
08184006_10_47,8,184,6,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,34238,0.9764430755190509,4,177,1420,8784,8671,0.9871357012750456,366,363,8760,8586,0.9801369863013699,365,355,8760,8432,0.9625570776255707,359,350,8760,8549,0.9759132420091324,364,352
08187012_10_47,8,187,12,2023-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,8515,0.24284166096281087,1,26304,354,8784,0,0.0,0,0,8760,0,0.0,0,0,8760,0,0.0,0,0,8760,8515,0.9720319634703196,363,354
08194008_10_47,8,194,8,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,34360,0.9799224275610312,4,119,1435,8784,8696,0.9899817850637522,366,366,8760,8552,0.9762557077625571,361,357,8760,8593,0.9809360730593607,363,359,8760,8519,0.9724885844748858,363,353
08202001_10_47,8,202,1,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,34527,0.9846851471594799,4,64,1449,8784,8596,0.9785974499089253,364,359,8760,8633,0.9855022831050229,365,362,8760,8641,0.9864155251141552,365,363,8760,8657,0.9882420091324201,365,365
08260010_10_47,8,260,10,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,34329,0.9790383299110198,4,100,1432,8784,8619,0.9812158469945356,366,363,8760,8600,0.9817351598173516,364,358,8760,8574,0.9787671232876712,362,357,8760,8536,0.9744292237442922,365,354
08263001_10_47,8,263,1,2020-01-02T14:00:00Z,2024-01-01T00:00:00Z,35064,34056,0.971252566735113,4,106,1423,8784,8597,0.9787112932604736,365,359,8760,8404,0.9593607305936073,361,351,8760,8446,0.9641552511415525,361,353,8760,8609,0.9827625570776256,365,360
08279011_10_47,8,279,11,2023-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,8489,0.2421001597079626,1,26304,353,8784,0,0.0,0,0,8760,0,0.0,0,0,8760,0,0.0,0,0,8760,8489,0.9690639269406393,363,353
08298008_10_47,8,298,8,2023-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,8494,0.2422427561031257,1,26304,350,8784,0,0.0,0,0,8760,0,0.0,0,0,8760,0,0.0,0,0,8760,8494,0.969634703196347,363,350
09018002_10_49,9,18,2,2020-01-01T01:00:00Z,2023-12-31T23:00:00Z,35064,34535,0.9849133013917408,4,113,1443,8784,8741,0.9951047358834244,366,366,8760,8649,0.9873287671232877,364,361,8760,8570,0.978310502283105,361,357,8760,8575,0.9788812785388128,361,359
09059003_10_49,9,59,3,2020-01-01T02:00:00Z,2024-01-01T00:00:00Z,35064,34660,0.988478211270819,4,72,1445,8784,8719,0.9926001821493625,366,364,8760,8727,0.9962328767123287,365,365,8760,8627,0.9848173515981735,362,360,8760,8587,0.9802511415525114,363,356
