station_id,condition,fold,origin,target_time,horizon,reason
21041008_10_49,lags_only,17,2023-02-27,2023-02-28,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-27,2023-03-01,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-27,2023-03-02,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-27,2023-03-03,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-27,2023-03-04,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-27,2023-03-05,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-27,2023-03-06,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-28,2023-03-01,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-28,2023-03-02,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-28,2023-03-03,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-28,2023-03-04,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-28,2023-03-05,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-28,2023-03-06,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-02-28,2023-03-07,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-01,2023-03-02,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-01,2023-03-03,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-01,2023-03-04,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-01,2023-03-05,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-01,2023-03-06,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-01,2023-03-07,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-01,2023-03-08,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-02,2023-03-03,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-02,2023-03-04,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-02,2023-03-05,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-02,2023-03-06,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-02,2023-03-07,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-02,2023-03-08,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-02,2023-03-09,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-03,2023-03-04,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-03,2023-03-05,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-03,2023-03-06,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-03,2023-03-07,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-03,2023-03-08,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-03,2023-03-09,6,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-03,2023-03-10,7,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-04,2023-03-05,1,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-04,2023-03-06,2,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-04,2023-03-07,3,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-04,2023-03-08,4,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-04,2023-03-09,5,historical_nan_block_numbering_divergence
21041008_10_49,lags_only,17,2023-03-04,2023-03-10,6,historical_nan_block_numbering_divergence
