site,source_station,origin,target_date,forecast_timestamp,horizon,y_true,yhat_lags,yhat_meteo,error_lags,error_meteo,sq_error_lags,sq_error_meteo,loss_differential
Birr (Co. Offaly),Birr co offlay,2023-03-23,2023-03-23 01:00:00,2023-03-23 01:00:00,1,3.59,6.45749330521,4.26108312607,-2.86749330521,-0.671083126068,8.2225178554,0.450352562093,7.77216529331
Birr (Co. Offaly),Birr co offlay,2023-03-24,2023-03-24 01:00:00,2023-03-24 01:00:00,1,8.19,12.5119256973,10.1866846085,-4.32192569733,-1.99668460846,18.6790417332,3.98674942566,14.6922923076
Birr (Co. Offaly),Birr co offlay,2023-03-25,2023-03-25 01:00:00,2023-03-25 01:00:00,1,8.52,10.2791824341,7.99362802505,-1.75918243408,0.526371974945,3.09472283638,0.277067456008,2.81765538038
Birr (Co. Offaly),Birr co offlay,2023-03-26,2023-03-26 01:00:00,2023-03-26 01:00:00,1,17.09,12.0891113281,12.5699710846,5.00088867187,4.52002891541,25.0088875085,20.4306613961,4.57822611239
Birr (Co. Offaly),Birr co offlay,2023-03-27,2023-03-27 01:00:00,2023-03-27 01:00:00,1,13.97,14.5090637207,19.6344280243,-0.539063720703,-5.66442802429,0.290589694978,32.0857448424,-31.7951551474
Birr (Co. Offaly),Birr co offlay,2023-03-28,2023-03-28 01:00:00,2023-03-28 01:00:00,1,6.02,15.1821708679,13.3756427765,-9.16217086792,-7.35564277649,83.945375013,54.1054806553,29.8398943576
Birr (Co. Offaly),Birr co offlay,2023-03-29,2023-03-29 01:00:00,2023-03-29 01:00:00,1,12.73,12.6140403748,10.1175279617,0.115959625244,2.61247203827,0.0134466346868,6.82501015074,-6.81156351605
Birr (Co. Offaly),Birr co offlay,2023-03-30,2023-03-30 01:00:00,2023-03-30 01:00:00,1,10.22,12.4949359894,11.5499401093,-2.27493598938,-1.32994010925,5.17533375578,1.7687406942,3.40659306158
Birr (Co. Offaly),Birr co offlay,2023-03-31,2023-03-31 01:00:00,2023-03-31 01:00:00,1,6.56,14.9813919067,14.3498468399,-8.42139190674,-7.7898468399,70.9198416469,60.6817137892,10.2381278577
Birr (Co. Offaly),Birr co offlay,2023-04-01,2023-04-01 01:00:00,2023-04-01 01:00:00,1,8.4,9.22910308838,8.94867134094,-0.829103088379,-0.548671340942,0.687411931159,0.301040240372,0.386371690788
Birr (Co. Offaly),Birr co offlay,2023-04-02,2023-04-02 01:00:00,2023-04-02 01:00:00,1,22.14,11.850279808,13.3970775604,10.289720192,8.74292243958,105.878341629,76.4386927844,29.4396488443
Birr (Co. Offaly),Birr co offlay,2023-04-03,2023-04-03 01:00:00,2023-04-03 01:00:00,1,7.21,12.8705129623,13.2818965912,-5.66051296234,-6.07189659119,32.0414069968,36.8679282141,-4.82652121723
Birr (Co. Offaly),Birr co offlay,2023-04-04,2023-04-04 01:00:00,2023-04-04 01:00:00,1,14.47,11.3260879517,11.5781078339,3.14391204834,2.89189216614,9.8841829677,8.36304030057,1.52114266713
Birr (Co. Offaly),Birr co offlay,2023-04-05,2023-04-05 01:00:00,2023-04-05 01:00:00,1,3.21,16.6491641998,14.9596376419,-13.4391641998,-11.7496376419,180.61113439,138.053984716,42.5571496739
Birr (Co. Offaly),Birr co offlay,2023-04-06,2023-04-06 01:00:00,2023-04-06 01:00:00,1,10.33,8.42206478119,8.62155437469,1.90793521881,1.70844562531,3.64021679918,2.91878645462,0.721430344555
Birr (Co. Offaly),Birr co offlay,2023-04-07,2023-04-07 01:00:00,2023-04-07 01:00:00,1,19.31,10.2033634186,13.4472484589,9.10663658142,5.86275154114,82.9308298261,34.3718556331,48.558974193
Birr (Co. Offaly),Birr co offlay,2023-04-08,2023-04-08 01:00:00,2023-04-08 01:00:00,1,12.24,19.8817825317,18.9853496552,-7.64178253174,-6.74534965515,58.3968402624,45.4997419703,12.8970982921
Birr (Co. Offaly),Birr co offlay,2023-04-09,2023-04-09 01:00:00,2023-04-09 01:00:00,1,13.2,13.4269313812,13.363079071,-0.226931381226,-0.163079071045,0.051497851785,0.0265947834129,0.0249030683721
Birr (Co. Offaly),Birr co offlay,2023-04-10,2023-04-10 01:00:00,2023-04-10 01:00:00,1,9.2,11.9949865341,11.6454048157,-2.79498653412,-2.44540481567,7.8119497259,5.98000471252,1.83194501338
Birr (Co. Offaly),Birr co offlay,2023-04-11,2023-04-11 01:00:00,2023-04-11 01:00:00,1,29.52,8.4270362854,7.37723922729,21.0929637146,22.1427607727,444.913118265,490.301854637,-45.3887363718
Birr (Co. Offaly),Birr co offlay,2023-04-12,2023-04-12 01:00:00,2023-04-12 01:00:00,1,7.09,14.975317955,15.57954216,-7.88531795502,-8.48954216003,62.1782392517,72.072326087,-9.89408683528
Birr (Co. Offaly),Birr co offlay,2023-04-13,2023-04-13 01:00:00,2023-04-13 01:00:00,1,12.58,11.123632431,11.0341615677,1.45636756897,1.54583843231,2.12100649595,2.38961645881,-0.268609962866
Birr (Co. Offaly),Birr co offlay,2023-04-14,2023-04-14 01:00:00,2023-04-14 01:00:00,1,17.94,10.5755672455,15.1694116592,7.36443275452,2.77058834076,54.2348697958,7.67615975395,46.5587100418
Birr (Co. Offaly),Birr co offlay,2023-04-15,2023-04-15 01:00:00,2023-04-15 01:00:00,1,19.82,14.6727628708,21.6505832672,5.14723712921,-1.83058326721,26.4940500643,3.3510350982,23.1430149661
Birr (Co. Offaly),Birr co offlay,2023-04-16,2023-04-16 01:00:00,2023-04-16 01:00:00,1,4.5,19.4286174774,14.5697946548,-14.9286174774,-10.0697946548,222.863619787,101.400764391,121.462855396
Birr (Co. Offaly),Birr co offlay,2023-04-17,2023-04-17 01:00:00,2023-04-17 01:00:00,1,5.01,12.0219020844,8.18934631348,-7.01190208435,-3.17934631348,49.1667708405,10.108242981,39.0585278595
Birr (Co. Offaly),Birr co offlay,2023-04-18,2023-04-18 01:00:00,2023-04-18 01:00:00,1,13.75,9.71321296692,11.167757988,4.03678703308,2.58224201202,16.2956495505,6.66797380866,9.62767574179
Birr (Co. Offaly),Birr co offlay,2023-04-19,2023-04-19 01:00:00,2023-04-19 01:00:00,1,22.17,15.7292947769,20.0071296692,6.44070522308,2.16287033081,41.4826837707,4.6780080679,36.8046757028
Birr (Co. Offaly),Birr co offlay,2023-04-20,2023-04-20 01:00:00,2023-04-20 01:00:00,1,21.81,20.7560501099,20.2242965698,1.05394989014,1.58570343018,1.11081037092,2.51445536847,-1.40364499755
Birr (Co. Offaly),Birr co offlay,2023-04-21,2023-04-21 01:00:00,2023-04-21 01:00:00,1,14.25,22.414434433,24.1299667358,-8.16443443298,-9.87996673584,66.6579896105,97.6137427013,-30.9557530908
Birr (Co. Offaly),Birr co offlay,2023-04-22,2023-04-22 01:00:00,2023-04-22 01:00:00,1,27.41,21.2994613647,21.1142807007,6.11053863525,6.29571929932,37.3386824129,39.6360814958,-2.29739908285
Birr (Co. Offaly),Birr co offlay,2023-04-23,2023-04-23 01:00:00,2023-04-23 01:00:00,1,10.27,18.9312763214,10.1106157303,-8.66127632141,0.159384269714,75.0177075158,0.0254033454324,74.9923041704
Birr (Co. Offaly),Birr co offlay,2023-04-24,2023-04-24 01:00:00,2023-04-24 01:00:00,1,11.95,12.427230835,13.0726566315,-0.477230834961,-1.12265663147,0.227749269838,1.26035791218,-1.03260864235
Birr (Co. Offaly),Birr co offlay,2023-04-25,2023-04-25 01:00:00,2023-04-25 01:00:00,1,39.03,11.4410123825,14.1878299713,27.5889876175,24.8421700287,761.152237758,617.133411734,144.018826024
