station_id,station_name,station_type,model,horizon,skill,alpha,recall_p75,dm_significant,n_pairs,rule_a_rc,decision_change_rc,reason_rc
50008001_10_M,Alagon,Suburban/Traffic,hgb_direct,1,0.0846597532126622,0.432872242323901,0.5439024390243903,True,1654,True,True,collapse_only
50008001_10_M,Alagon,Suburban/Traffic,hgb_direct,2,0.1670035556514706,0.225581201831729,0.2604422604422604,True,1648,True,True,collapse_only
50008001_10_M,Alagon,Suburban/Traffic,ridge_direct,1,0.1059603614978836,0.4175368143953776,0.5463414634146342,True,1654,True,True,collapse_only
50008001_10_M,Alagon,Suburban/Traffic,ridge_direct,2,0.1878363144274183,0.1750717102833572,0.2604422604422604,True,1648,True,True,collapse_only
50008001_10_M,Alagon,Suburban/Traffic,sarima,2,0.1339127840841226,0.157973594626209,0.3409090909090909,True,119,True,True,collapse_only
50008001_10_M,Alagon,Suburban/Traffic,sarima,3,0.2550870112436245,0.1205610695719694,0.2222222222222222,True,119,True,True,collapse_only
08019045_10_M,Barcelona Zona Universitaria,Urban/Background,hgb_direct,2,0.1507049702509407,0.2263860517111045,0.3147058823529411,True,1476,True,True,collapse_only
08019045_10_M,Barcelona Zona Universitaria,Urban/Background,ridge_direct,1,0.0941855775586321,0.4433900563206617,0.5,True,1486,True,True,collapse_only
08019045_10_M,Barcelona Zona Universitaria,Urban/Background,ridge_direct,2,0.1609789723725999,0.1763445609768441,0.2705882352941176,True,1476,True,True,collapse_only
03014002_10_M,Elx-Agroalimentari,Suburban/Industrial,hgb_direct,2,0.2074180430237674,0.1637044787714371,0.3066202090592334,True,1251,True,True,collapse_only
03014002_10_M,Elx-Agroalimentari,Suburban/Industrial,hgb_direct,3,0.2358890778091833,0.1295924754776451,0.2404181184668989,True,1241,True,True,collapse_only
03014002_10_M,Elx-Agroalimentari,Suburban/Industrial,hgb_direct,4,0.2421463973791151,0.1194146001058735,0.2260273972602739,True,1234,True,True,collapse_only
03014002_10_M,Elx-Agroalimentari,Suburban/Industrial,hgb_direct,5,0.2536119461106551,0.1040043978229446,0.2074829931972789,True,1228,True,True,collapse_only
46263999_10_M,Zarra-EMEP,Rural Remote EMEP,hgb_direct,2,0.1944010198200222,0.1955083502333943,0.5408163265306123,True,1459,True,True,collapse_only
46263999_10_M,Zarra-EMEP,Rural Remote EMEP,hgb_direct,3,0.2313148450813498,0.1340004470383874,0.473551637279597,True,1456,True,True,collapse_only
46263999_10_M,Zarra-EMEP,Rural Remote EMEP,hgb_direct,4,0.2350524348857933,0.1079540983125341,0.4181360201511335,True,1456,True,True,collapse_only
46263999_10_M,Zarra-EMEP,Rural Remote EMEP,hgb_direct,5,0.2158380294562084,0.0928018694326719,0.3725,True,1454,True,True,collapse_only
46263999_10_M,Zarra-EMEP,Rural Remote EMEP,hgb_direct,6,0.2122987011351359,0.0793759082652726,0.36,True,1451,True,True,collapse_only
46263999_10_M,Zarra-EMEP,Rural Remote EMEP,hgb_direct,7,0.2047846046271658,0.0783525631458926,0.3508771929824561,True,1449,True,True,collapse_only
46263999_10_M,Zarra-EMEP,Rural Remote EMEP,ridge_direct,1,0.0852153086153748,0.4755109408749368,0.6692506459948321,True,1463,True,True,collapse_only
46263999_10_M,Zarra-EMEP,Rural Remote EMEP,ridge_direct,2,0.1800284101493156,0.2289217304349452,0.4515306122448979,True,1459,True,True,collapse_only
46263999_10_M,Zarra-EMEP,Rural Remote EMEP,ridge_direct,3,0.2189869172535209,0.1419788223533167,0.36272040302267,True,1456,True,True,collapse_only
46263999_10_M,Zarra-EMEP,Rural Remote EMEP,ridge_direct,4,0.2246462771083498,0.1077596206531649,0.3148614609571788,True,1456,True,True,collapse_only
46263999_10_M,Zarra-EMEP,Rural Remote EMEP,ridge_direct,5,0.2077774999457512,0.0874297364441652,0.2775,True,1454,True,True,collapse_only
46263999_10_M,Zarra-EMEP,Rural Remote EMEP,ridge_direct,6,0.208160151566629,0.0783494121830458,0.27,True,1451,True,True,collapse_only
46263999_10_M,Zarra-EMEP,Rural Remote EMEP,ridge_direct,7,0.2064613695421264,0.0677558416154959,0.2531328320802005,True,1449,True,True,collapse_only
43004005_10_M,Alcanar Llar de Jubilats,Rural Near-city/Industrial,hgb_direct,2,0.1491276983719101,0.2203492515436525,0.3069620253164557,True,1506,True,True,collapse_only
43004005_10_M,Alcanar Llar de Jubilats,Rural Near-city/Industrial,hgb_direct,3,0.1614387247026361,0.1571593075670126,0.2165605095541401,True,1499,True,True,collapse_only
