station_id,model,horizon,skill,alpha,recall_p75,dm_significant,station_type,rule_a_rc,rule_b_rc,decision_change_rc,reason_rc
08019028_10_M,stl_ridge_direct,7,-1.4597939020576325,1.320755067642129,1.0,True,Urban/Traffic,False,False,False,n/a
08019054_10_M,hgb_direct,1,0.0831603025834692,0.4784559928007614,0.5523809523809524,False,Urban/Background,False,False,False,n/a
08019054_10_M,hgb_direct,2,0.1490533332906917,0.2676040929025354,0.3555555555555555,True,Urban/Background,True,False,True,collapse_only
08019054_10_M,hgb_direct,3,0.1906232180478182,0.1919385476994885,0.2300319488817891,True,Urban/Background,True,False,True,collapse_only
08019054_10_M,hgb_direct,4,0.2213341926173715,0.1397435541776441,0.1779935275080906,True,Urban/Background,True,False,True,both
08019054_10_M,hgb_direct,5,0.2251296367038612,0.1286265653859761,0.1758957654723127,True,Urban/Background,True,False,True,both
08019054_10_M,hgb_direct,6,0.2279357404271512,0.1144594643368189,0.160655737704918,True,Urban/Background,True,False,True,both
08019054_10_M,hgb_direct,7,0.2284391268807913,0.1114271071261027,0.1584158415841584,True,Urban/Background,True,False,True,both
08019054_10_M,ridge_direct,1,0.0899674181183064,0.5024007945076104,0.5301587301587302,True,Urban/Background,True,True,False,no_change
08019054_10_M,ridge_direct,2,0.1619833464910797,0.2148681236988795,0.2920634920634921,True,Urban/Background,True,False,True,collapse_only
08019054_10_M,ridge_direct,3,0.2048635621429519,0.1036284494035679,0.1853035143769968,True,Urban/Background,True,False,True,both
08019054_10_M,ridge_direct,4,0.2359319290957044,0.0640560352918663,0.1229773462783171,True,Urban/Background,True,False,True,both
08019054_10_M,ridge_direct,5,0.2418495686973673,0.0520849594053753,0.1107491856677524,True,Urban/Background,True,False,True,both
08019054_10_M,ridge_direct,6,0.2394442363308918,0.0524299312809306,0.121311475409836,True,Urban/Background,True,False,True,both
08019054_10_M,ridge_direct,7,0.243312278413993,0.0476823269101211,0.0957095709570957,True,Urban/Background,True,False,True,both
08019054_10_M,sarima,1,0.0304005862439483,0.5034984906442423,0.5098039215686274,False,Urban/Background,False,False,False,n/a
08019054_10_M,sarima,2,0.1377498104989916,0.2583873606121182,0.15,False,Urban/Background,False,False,False,n/a
08019054_10_M,sarima,3,0.2136490298162952,0.1546676983772574,0.0952380952380952,False,Urban/Background,False,False,False,n/a
08019054_10_M,sarima,4,0.2707287212862288,0.1054183736843379,0.0512820512820512,False,Urban/Background,False,False,False,n/a
08019054_10_M,sarima,5,0.2685241117039193,0.0453523092591534,0.0555555555555555,False,Urban/Background,False,False,False,n/a
08019054_10_M,sarima,6,0.2414224701188877,0.0452619296430699,0.0476190476190476,False,Urban/Background,False,False,False,n/a
08019054_10_M,sarima,7,0.269179533278804,0.0611578853172643,0.0,False,Urban/Background,False,False,False,n/a
08019054_10_M,seasonal_naive,1,-0.5223950754286957,1.0316675800192845,0.2984126984126984,True,Urban/Background,False,False,False,n/a
08019054_10_M,seasonal_naive,2,-0.1957364906676268,1.0295531170014132,0.2984126984126984,True,Urban/Background,False,False,False,n/a
08019054_10_M,seasonal_naive,3,-0.0905203809493915,1.0360109936512831,0.2971246006389776,False,Urban/Background,False,False,False,n/a
08019054_10_M,seasonal_naive,4,-0.0291933436399971,1.034708897782465,0.2880258899676375,False,Urban/Background,False,False,False,n/a
08019054_10_M,seasonal_naive,5,0.0005560740029667,0.9875261325216846,0.2931596091205212,False,Urban/Background,False,False,False,n/a
08019054_10_M,seasonal_naive,6,-0.0031472716763187,0.9916536929600756,0.2983606557377049,False,Urban/Background,False,False,False,n/a
08019054_10_M,seasonal_naive,7,0.0,0.989712580456612,0.2904290429042904,False,Urban/Background,False,False,False,n/a
08019054_10_M,stl_ridge_direct,1,-2.1103657081918863,1.7214391156878543,0.9968253968253968,True,Urban/Background,False,False,False,n/a
08019054_10_M,stl_ridge_direct,2,-1.495891942768893,1.546757242420682,0.9904761904761904,True,Urban/Background,False,False,False,n/a
08019054_10_M,stl_ridge_direct,3,-1.2900035884016372,1.4647140366755795,0.9968051118210862,True,Urban/Background,False,False,False,n/a
08019054_10_M,stl_ridge_direct,4,-1.163854574148011,1.4187841090073938,1.0,True,Urban/Background,False,False,False,n/a
08019054_10_M,stl_ridge_direct,5,-1.1071900799370795,1.329690718940255,1.0,True,Urban/Background,False,False,False,n/a
08019054_10_M,stl_ridge_direct,6,-1.1128474847224537,1.2802919822079488,1.0,True,Urban/Background,False,False,False,n/a
08019054_10_M,stl_ridge_direct,7,-1.1022050723044847,1.2524728915193897,1.0,True,Urban/Background,False,False,False,n/a
44216001_10_M,hgb_direct,1,0.0890765265794398,0.3297492152033837,0.578088578088578,False,Urban/Background,False,False,False,n/a
