station_id,model,horizon,condition,n,mae,rmse,bias,mae_persistence,rmse_persistence,skill_mae,skill_rmse
01059009_10_47,sarima,3,lags_only,920,5.7068123259251085,8.29617486322071,-3.3395681655779863,5.878572516278092,8.823063109550107,0.02921800996370641,0.05971715715816337
01059009_10_47,xgboost_direct,3,lags_only,920,5.693627299505852,7.727437508149007,1.169475413337701,5.878572516278092,8.823063109550107,0.03146090590192033,0.12417746397112263
01059009_10_47,persistence,4,lags_only,917,6.171391721560041,9.129610115706992,,,,,
01059009_10_47,sarima,4,lags_only,917,6.080153465445148,8.681360050450047,-4.153595395761227,6.171391721560041,9.129610115706992,0.014784064961578684,0.04909848937423461
01059009_10_47,xgboost_direct,4,lags_only,917,5.806841698741359,7.922430360686932,1.1876350026770492,6.171391721560041,9.129610115706992,0.059070958264585485,0.13222686836792444
01059009_10_47,persistence,5,lags_only,919,6.3210881191424795,9.230953079940965,,,,,
01059009_10_47,sarima,5,lags_only,919,6.443133947409918,9.06625239184886,-4.917226950601642,6.3210881191424795,9.230953079940965,-0.019307724551069123,0.017842219179946165
01059009_10_47,xgboost_direct,5,lags_only,919,5.785900486931086,7.869819800891444,0.8585779337206126,6.3210881191424795,9.230953079940965,0.08466701019254211,0.14745316840655265
01059009_10_47,persistence,6,lags_only,917,6.333329683239598,9.230724489019,,,,,
01059009_10_47,sarima,6,lags_only,917,6.738209853680979,9.37009827146495,-5.556761682559443,6.333329683239598,9.230724489019,-0.06392848480836985,-0.01509889961635749
01059009_10_47,xgboost_direct,6,lags_only,917,5.7926733430829875,7.7921694362121565,1.2155462579656882,6.333329683239598,9.230724489019,0.08536683975056489,0.15584421943458163
01059009_10_47,persistence,7,lags_only,916,6.402016710611499,9.41542623005311,,,,,
01059009_10_47,sarima,7,lags_only,916,7.1196268226857615,9.72165027802556,-6.126782809654424,6.402016710611499,9.41542623005311,-0.11209125881924147,-0.03252365219484302
01059009_10_47,xgboost_direct,7,lags_only,916,5.65816298306328,7.717473997642261,1.0501375531614034,6.402016710611499,9.41542623005311,0.11619053201083712,0.18033726683462867
01059012_10_47,persistence,1,lags_only,1035,4.831337751301934,8.38278581810075,,,,,
01059012_10_47,sarima,1,lags_only,1035,4.898240098086741,8.395512620923821,-1.5700175129231098,4.831337751301934,8.38278581810075,-0.013847582228499394,-0.0015182068466535604
01059012_10_47,xgboost_direct,1,lags_only,1035,6.234890922834999,10.0130467001345,-1.2698779569225493,4.831337751301934,8.38278581810075,-0.29051025694795185,-0.1944772200326969
01059012_10_47,persistence,2,lags_only,1033,6.656760028752305,11.107817311682577,,,,,
01059012_10_47,sarima,2,lags_only,1033,6.423986031362597,10.424393345537677,-2.6499060756859016,6.656760028752305,11.107817311682577,0.03496806199777298,0.06152639595774712
01059012_10_47,xgboost_direct,2,lags_only,1033,6.4726140836918615,10.257198289863187,-1.3798830994542017,6.656760028752305,11.107817311682577,0.027662998856060345,0.0765784130177184
01059012_10_47,persistence,3,lags_only,1031,7.408950206865907,12.250370495872476,,,,,
01059012_10_47,sarima,3,lags_only,1031,7.055999900822712,11.216289777302437,-3.64698741994934,7.408950206865907,12.250370495872476,0.04763836929503379,0.0844121995264104
01059012_10_47,xgboost_direct,3,lags_only,1031,6.5849873017627445,10.378004441007139,-1.491365776278643,7.408950206865907,12.250370495872476,0.11121182921969064,0.15284158593376374
01059012_10_47,persistence,4,lags_only,1031,7.886039545225435,12.796334161329817,,,,,
01059012_10_47,sarima,4,lags_only,1031,7.546552255348822,11.720191045040577,-4.548398014672404,7.886039545225435,12.796334161329817,0.04304914880653288,0.08409776602593856
01059012_10_47,xgboost_direct,4,lags_only,1031,6.5644488118751845,10.396662013259368,-1.7104563039402203,7.886039545225435,12.796334161329817,0.16758611540952786,0.18752809342242677
01059012_10_47,persistence,5,lags_only,1032,8.10034114196313,12.867875366552228,,,,,
01059012_10_47,sarima,5,lags_only,1032,7.857426106559971,11.978531446313614,-5.363127090472813,8.10034114196313,12.867875366552228,0.029988247549817118,0.06911350125058772
01059012_10_47,xgboost_direct,5,lags_only,1032,6.624972067438989,10.426665259390964,-1.7174884183846777,8.10034114196313,12.867875366552228,0.18213665926748643,0.18971353371254743
01059012_10_47,persistence,6,lags_only,1030,8.170895579781796,12.88726035146901,,,,,
01059012_10_47,sarima,6,lags_only,1030,8.122482477394039,12.251842911003697,-6.146469207403716,8.170895579781796,12.88726035146901,0.005925066832031386,0.04930585889753378
