station_id,horizon,condition,accuracy_metric,accuracy_xgboost,accuracy_sarima,accuracy_winner,diagnostic_metric,diagnostic_direction,diagnostic_xgboost,diagnostic_sarima,diagnostic_winner,diagnostic_margin,pairwise_reversal_candidate,scientific_preference_adjudication
07044001_10_49,6,lags_only,error_skill_rmse,0.22325739196302877,0.08803871866559129,xgboost_direct,fidelity_std_ratio,closer_to_one,0.4034903935778546,0.5300459132938109,sarima,0.12655551971595624,True,REQUIRES_QUALITATIVE_REVIEW
07044001_10_49,6,lags_only,error_skill_rmse,0.22325739196302877,0.08803871866559129,xgboost_direct,fidelity_variance_retention,closer_to_one,0.162804497709612,0.28094867019947006,sarima,0.11814417248985809,True,REQUIRES_QUALITATIVE_REVIEW
07044001_10_49,7,lags_only,error_skill_rmse,0.2379819638185405,0.07260633032692465,xgboost_direct,event_csi,higher,0.12686567164179105,0.06382978723404255,xgboost_direct,0.0630358844077485,False,NO_REVERSAL
07044001_10_49,7,lags_only,error_skill_rmse,0.2379819638185405,0.07260633032692465,xgboost_direct,event_recall_pod,higher,0.20481927710843373,0.07228915662650602,xgboost_direct,0.1325301204819277,False,NO_REVERSAL
07044001_10_49,7,lags_only,error_skill_rmse,0.2379819638185405,0.07260633032692465,xgboost_direct,fidelity_amplitude_ratio,closer_to_one,0.3761277689165673,0.4465620075912468,sarima,0.07043423867467957,True,REQUIRES_QUALITATIVE_REVIEW
07044001_10_49,7,lags_only,error_skill_rmse,0.2379819638185405,0.07260633032692465,xgboost_direct,fidelity_correlation,higher,0.05317029586209938,0.07818835283778755,sarima,0.025018056975688173,True,REQUIRES_QUALITATIVE_REVIEW
07044001_10_49,7,lags_only,error_skill_rmse,0.2379819638185405,0.07260633032692465,xgboost_direct,fidelity_std_ratio,closer_to_one,0.3258336365267323,0.5049318001635902,sarima,0.17909816363685793,True,REQUIRES_QUALITATIVE_REVIEW
07044001_10_49,7,lags_only,error_skill_rmse,0.2379819638185405,0.07260633032692465,xgboost_direct,fidelity_variance_retention,closer_to_one,0.10616755869223471,0.2549561228164438,sarima,0.14878856412420916,True,REQUIRES_QUALITATIVE_REVIEW
07046001_10_49,1,lags_only,error_skill_rmse,-0.01164856541589497,-0.043312616984835704,xgboost_direct,event_csi,higher,0.3197424892703863,0.45187165775401067,sarima,0.13212916848362438,True,REQUIRES_QUALITATIVE_REVIEW
07046001_10_49,1,lags_only,error_skill_rmse,-0.01164856541589497,-0.043312616984835704,xgboost_direct,event_recall_pod,higher,0.46855345911949686,0.5314465408805031,sarima,0.06289308176100628,True,REQUIRES_QUALITATIVE_REVIEW
07046001_10_49,1,lags_only,error_skill_rmse,-0.01164856541589497,-0.043312616984835704,xgboost_direct,fidelity_amplitude_ratio,closer_to_one,0.6591900058080539,0.822859507292759,sarima,0.16366950148470516,True,REQUIRES_QUALITATIVE_REVIEW
07046001_10_49,1,lags_only,error_skill_rmse,-0.01164856541589497,-0.043312616984835704,xgboost_direct,fidelity_correlation,higher,0.28097386999487606,0.42835229963274035,sarima,0.1473784296378643,True,REQUIRES_QUALITATIVE_REVIEW
07046001_10_49,1,lags_only,error_skill_rmse,-0.01164856541589497,-0.043312616984835704,xgboost_direct,fidelity_std_ratio,closer_to_one,0.5631135408970881,0.8989283500857128,sarima,0.3358148091886247,True,REQUIRES_QUALITATIVE_REVIEW
07046001_10_49,1,lags_only,error_skill_rmse,-0.01164856541589497,-0.043312616984835704,xgboost_direct,fidelity_variance_retention,closer_to_one,0.31709685994165654,0.8080721785878218,sarima,0.49097531864616517,True,REQUIRES_QUALITATIVE_REVIEW
07046001_10_49,2,lags_only,error_skill_rmse,0.10536304776166582,0.04539864895033647,xgboost_direct,event_csi,higher,0.24468085106382978,0.3393782383419689,sarima,0.09469738727813912,True,REQUIRES_QUALITATIVE_REVIEW
07046001_10_49,2,lags_only,error_skill_rmse,0.10536304776166582,0.04539864895033647,xgboost_direct,event_recall_pod,higher,0.3605015673981191,0.4106583072100313,sarima,0.05015673981191221,True,REQUIRES_QUALITATIVE_REVIEW
07046001_10_49,2,lags_only,error_skill_rmse,0.10536304776166582,0.04539864895033647,xgboost_direct,fidelity_amplitude_ratio,closer_to_one,0.5645143427941661,0.78888314237698,sarima,0.22436879958281386,True,REQUIRES_QUALITATIVE_REVIEW
07046001_10_49,2,lags_only,error_skill_rmse,0.10536304776166582,0.04539864895033647,xgboost_direct,fidelity_correlation,higher,0.21860036230091112,0.3248319890855676,sarima,0.10623162678465647,True,REQUIRES_QUALITATIVE_REVIEW
07046001_10_49,2,lags_only,error_skill_rmse,0.10536304776166582,0.04539864895033647,xgboost_direct,fidelity_std_ratio,closer_to_one,0.4459052100013953,0.7705805554332374,sarima,0.32467534543184207,True,REQUIRES_QUALITATIVE_REVIEW
07046001_10_49,2,lags_only,error_skill_rmse,0.10536304776166582,0.04539864895033647,xgboost_direct,fidelity_variance_retention,closer_to_one,0.1988314563063884,0.5937943924117965,sarima,0.3949629361054081,True,REQUIRES_QUALITATIVE_REVIEW
07046001_10_49,3,lags_only,error_skill_rmse,0.08381320274265637,0.07453312672134439,xgboost_direct,event_csi,higher,0.25443786982248523,0.2849604221635884,sarima,0.030522552341103182,True,REQUIRES_QUALITATIVE_REVIEW
07046001_10_49,3,lags_only,error_skill_rmse,0.08381320274265637,0.07453312672134439,xgboost_direct,event_recall_pod,higher,0.403125,0.3375,xgboost_direct,0.06562499999999999,False,NO_REVERSAL
07046001_10_49,3,lags_only,error_skill_rmse,0.08381320274265637,0.07453312672134439,xgboost_direct,fidelity_amplitude_ratio,closer_to_one,0.5803545946684988,0.7634877435419333,sarima,0.18313314887343446,True,REQUIRES_QUALITATIVE_REVIEW
07046001_10_49,3,lags_only,error_skill_rmse,0.08381320274265637,0.07453312672134439,xgboost_direct,fidelity_correlation,higher,0.10609489618113677,0.2887072681746115,sarima,0.18261237199347474,True,REQUIRES_QUALITATIVE_REVIEW
07046001_10_49,3,lags_only,error_skill_rmse,0.08381320274265637,0.07453312672134439,xgboost_direct,fidelity_std_ratio,closer_to_one,0.5076687624428946,0.6775543931588031,sarima,0.16988563071590845,True,REQUIRES_QUALITATIVE_REVIEW
07046001_10_49,3,lags_only,error_skill_rmse,0.08381320274265637,0.07453312672134439,xgboost_direct,fidelity_variance_retention,closer_to_one,0.2577275723603002,0.45907995568879384,sarima,0.2013523833284937,True,REQUIRES_QUALITATIVE_REVIEW
07046001_10_49,4,lags_only,error_skill_rmse,0.04559373709002307,0.08818695222819434,sarima,event_csi,higher,0.21428571428571427,0.22788203753351208,sarima,0.013596323247797804,False,NO_REVERSAL
07046001_10_49,4,lags_only,error_skill_rmse,0.04559373709002307,0.08818695222819434,sarima,event_recall_pod,higher,0.3447204968944099,0.2639751552795031,xgboost_direct,0.08074534161490682,True,REQUIRES_QUALITATIVE_REVIEW
07046001_10_49,4,lags_only,error_skill_rmse,0.04559373709002307,0.08818695222819434,sarima,fidelity_amplitude_ratio,closer_to_one,0.6180503051853257,0.7297420193594012,sarima,0.11169171417407553,False,NO_REVERSAL
07046001_10_49,4,lags_only,error_skill_rmse,0.04559373709002307,0.08818695222819434,sarima,fidelity_correlation,higher,0.0491547136069973,0.23209905875510234,sarima,0.18294434514810504,False,NO_REVERSAL
07046001_10_49,4,lags_only,error_skill_rmse,0.04559373709002307,0.08818695222819434,sarima,fidelity_std_ratio,closer_to_one,0.6638209002910943,0.6112565958785097,xgboost_direct,0.05256430441258464,True,REQUIRES_QUALITATIVE_REVIEW
07046001_10_49,4,lags_only,error_skill_rmse,0.04559373709002307,0.08818695222819434,sarima,fidelity_variance_retention,closer_to_one,0.44065818766327886,0.37363462600498365,xgboost_direct,0.06702356165829526,True,REQUIRES_QUALITATIVE_REVIEW
07046001_10_49,5,lags_only,error_skill_rmse,0.03978726942119898,0.09111944916892392,sarima,event_csi,higher,0.21183206106870228,0.1766304347826087,xgboost_direct,0.03520162628609358,True,REQUIRES_QUALITATIVE_REVIEW
07046001_10_49,5,lags_only,error_skill_rmse,0.03978726942119898,0.09111944916892392,sarima,event_recall_pod,higher,0.34579439252336447,0.20249221183800623,xgboost_direct,0.14330218068535824,True,REQUIRES_QUALITATIVE_REVIEW
07046001_10_49,5,lags_only,error_skill_rmse,0.03978726942119898,0.09111944916892392,sarima,fidelity_amplitude_ratio,closer_to_one,0.6244550847024812,0.7075985293621105,sarima,0.0831434446596293,False,NO_REVERSAL
