station_id,model,horizon,condition,n,observed_variance,predicted_variance,variance_retention,observed_sd,predicted_sd,std_ratio,correlation,observed_amplitude_q95_q05,predicted_amplitude_q95_q05,amplitude_ratio,variance_fidelity_directional_degradation,alpha_kge,temporal_variability,alpha_kge_status,temporal_variability_status
38006001_10_46,xgboost_direct,5,lags_only,963,1440.5257996646658,3043.8234742513882,2.1129947654946184,37.95425930860284,55.17085710999412,1.4536143799146384,0.0628223225173321,70.63434782608694,60.38192253112791,0.8548521277466575,False,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38006001_10_46,xgboost_direct,6,lags_only,961,1396.6269390282432,1308.975225120672,0.9372404244410764,37.37147226198405,36.17976264599689,0.9681117830297677,0.03298035326421951,71.80416666666669,74.89393043518066,1.0430304244439943,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38006001_10_46,xgboost_direct,7,lags_only,959,1485.6136289281442,2353.9979600819584,1.5845290553643783,38.54365873821716,48.518016860563854,1.2587807812976723,-0.002902845713961928,71.84673913043471,52.27731113433826,0.7276226000936663,False,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38006002_10_46,sarima,1,lags_only,621,2023.7316791719234,616.4344436553898,0.30460285323379643,44.98590533902728,24.828097866235943,0.5519083739478832,0.5839279062420335,62.916666666666664,38.469952207535215,0.6114429489939373,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38006002_10_46,sarima,2,lags_only,616,2034.4072351607383,227.4789230190115,0.11181582481987114,45.104403722483,15.082404417698509,0.33438873309349276,0.27384767064743304,72.00769927536233,25.254160981399615,0.35071473239029605,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38006002_10_46,sarima,3,lags_only,612,2061.98506755296,82.03817682393385,0.03978601887805707,45.409085737911084,9.057492855306807,0.19946432983883877,0.1662243600873168,78.40552536231881,15.1652515084963,0.19342069883999047,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38006002_10_46,sarima,4,lags_only,612,2253.7765012456234,40.84850802606508,0.018124471527451287,47.47395603112957,6.391283754150264,0.13462715746628273,0.09014439589619774,79.21871376811582,11.188613822830249,0.14123700437223552,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38006002_10_46,sarima,5,lags_only,611,2291.9239338005536,22.9284306677497,0.010004010311864462,47.874042379984516,4.788364090976135,0.10002004954940016,0.06279425770226423,78.16041666666666,8.642972609654729,0.11057991983991977,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38006002_10_46,sarima,6,lags_only,609,2183.1703641606596,16.68753952197291,0.007643718417911279,46.724408655013065,4.085038497000109,0.08742836163346124,0.02706401792852278,75.59166666666677,6.710588806018602,0.08877418771053149,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
38006002_10_46,sarima,7,lags_only,606,1674.8639623606975,13.640722890859179,0.008144376616494135,40.925101861335634,3.6933349280642256,0.09024620001138073,0.00930163533147628,69.134375,5.010579393853363,0.07247594838100962,True,,,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION,NOT_FROZEN_IN_PHASE_3_PREREGISTRATION
