station_id,model,horizon,condition,raw_p_value,bh_q_value,bh_reject_q_0_05,family,family_size,alpha,primary_inferential_metric
03014009_10_46,sarima,6,lags_only,0.0087,0.024789792060491492,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03014009_10_46,sarima,7,lags_only,0.0029,0.009882290881688018,True,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03014009_10_46,xgboost_direct,1,lags_only,0.2854,0.38791067027351966,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03014009_10_46,xgboost_direct,2,lags_only,0.1058,0.1807433320740461,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03014009_10_46,xgboost_direct,3,lags_only,0.157,0.2478024432809773,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03014009_10_46,xgboost_direct,4,lags_only,0.2051,0.30388669724770645,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03014009_10_46,xgboost_direct,5,lags_only,0.2553,0.35853000000000007,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03014009_10_46,xgboost_direct,6,lags_only,0.2369,0.3380801261829653,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03014009_10_46,xgboost_direct,7,lags_only,0.2113,0.31042839506172837,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03066003_10_46,sarima,1,lags_only,0.066,0.12529471032745593,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03066003_10_46,sarima,2,lags_only,0.0239,0.05640699373695198,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03066003_10_46,sarima,3,lags_only,0.029,0.06623131313131313,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03066003_10_46,sarima,4,lags_only,0.0465,0.09501717126073203,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03066003_10_46,sarima,5,lags_only,0.0638,0.12193727810650888,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03066003_10_46,sarima,6,lags_only,0.1086,0.1847589164785553,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03066003_10_46,sarima,7,lags_only,0.1352,0.21944522613065323,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
03066003_10_46,xgboost_direct,1,lags_only,0.3813,0.4713610169491525,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
